0,1,2
1.0,Trot Nixon,RF
2.0,Jose Offerman,2B
3.0,Dante Bichette,DH
4.0,Nomar Garciaparra,SS
5.0,Troy O'Leary,LF
6.0,Lou Merloni,3B
7.0,Scott Hatteberg,C
8.0,Darren Lewis,CF
9.0,Rico Brogna,1B
,Tomo Ohka,P
