Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Aaron Sele, L (8-2)",3.1,10,7,7,1,1,0,4.77,21,69,41,31,2,8,2,17,7,0,12.0,,,-0.425,1.02,-0.77%,3.08,-4.9
Scot Shields,2.0,5,5,5,1,1,1,3.54,12,37,21,16,4,1,3,7,2,0,,2.0,1.0,-0.147,0.55,-0.27%,1.65,-3.9
Kevin Gregg,2.2,1,0,0,2,4,0,3.82,11,40,25,13,5,7,2,3,0,0,,0.0,0.0,0.005,0.04,0.01%,0.12,1.5
Team Totals,8.0,16,12,12,4,6,1,13.5,44,146,87,60,11,16,7,27,9,0,12.0,2.0,1.0,-0.567,0.65,-1.02%,1.94,-7.2
