Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b5,3-5,1,1--,"2,(1-0) BX",RR,BOS,Jason Varitek,Mark Buehrle,23%,54%,Home Run (Fly Ball to Deep LF); Ortiz Scores
b7,5-5,0,---,"5,(2-2) CBCBX",R,BOS,David Ortiz,Mark Buehrle,19%,78%,Home Run (Fly Ball to Deep LF)
t1,0-0,2,1-3,"4,(2-1) *BBCX",RR,CHW,Aaron Rowand,David Wells,-17%,33%,Triple to CF (Fly Ball to Deep CF); Podsednik Scores/unER; Konerko Scores/unER
b3,0-4,2,-23,"2,(0-1) CX",RR,BOS,David Ortiz,Mark Buehrle,13%,32%,Double to RF (Line Drive to Deep RF); Mueller Scores; Renteria Scores
b8,6-5,2,12-,"3,(1-1) F*B2X",RRR,BOS,David Ortiz,Bobby Jenks,13%,98%,Home Run (Fly Ball to Deep CF); Kapler Scores; Renteria Scores
