0,1,2
1.0,Rickey Henderson,LF
2.0,Stan Javier,CF
3.0,Alex Rodriguez,SS
4.0,Edgar Martinez,DH
5.0,John Olerud,1B
6.0,Jay Buhner,RF
7.0,Carlos Guillen,3B
8.0,Joe Oliver,C
9.0,Mark McLemore,2B
,Paul Abbott,P
