Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Dan Reichert, L (0-2)",4,9,6,5,2,1,3,4.91,21,79,46,31,3,12,8,10,5,0,21.0,,,-0.342,0.72,-0.19%,0.67,-3.8
Blake Stein,2,4,2,2,0,3,1,4.5,10,36,25,14,4,7,3,4,1,0,,0.0,0.0,-0.077,0.46,-0.04%,0.43,-0.9
Jeremy Affeldt,2,2,0,0,0,2,0,2.25,7,26,17,8,2,7,2,3,3,0,,0.0,0.0,0.012,0.13,0.01%,0.12,1.1
Team Totals,8,15,8,7,2,6,4,7.88,38,141,88,53,9,26,13,17,9,0,21.0,0.0,0.0,-0.407,0.54,-0.23%,0.51,-3.5
