Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jose Offerman 2B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.291,0.363,0.43,0.793,14.0,9.0,-0.008,0.47,0.025,-0.033,-0.01%,0.74,-0.3,1.0,2.0,
Trot Nixon RF,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,0.344,0.45,0.794,17.0,9.0,-0.034,0.51,0.003,-0.037,-0.03%,0.81,-0.4,2.0,0.0,SH
Carl Everett CF,3.0,0.0,1.0,1.0,1.0,2.0,4.0,0.302,0.362,0.472,0.835,16.0,8.0,0.025,0.45,0.043,-0.018,0.02%,0.7,0.4,1.0,0.0,
Manny Ramirez DH,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.375,0.457,0.688,1.145,17.0,12.0,0.015,0.43,0.036,-0.021,0.01%,0.68,-0.6,,,
Troy O'Leary LF,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.244,0.276,0.402,0.678,12.0,7.0,0.083,0.71,0.101,-0.018,0.08%,1.13,0.6,3.0,0.0,2B
Shea Hillenbrand 3B,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.289,0.3,0.421,0.721,10.0,6.0,-0.065,0.62,0.0,-0.065,-0.06%,0.99,-0.9,0.0,0.0,
Brian Daubach 1B,3.0,0.0,1.0,2.0,0.0,2.0,3.0,0.248,0.316,0.537,0.853,10.0,7.0,0.105,0.61,0.115,-0.01,0.10%,0.96,1.0,5.0,0.0,2B
John Valentin SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.122,0.25,0.244,0.494,9.0,7.0,-0.036,0.47,0.0,-0.036,-0.03%,0.74,-0.9,0.0,2.0,
Jason Varitek C,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.293,0.371,0.476,0.847,15.0,10.0,-0.033,0.47,0.003,-0.036,-0.03%,0.74,-0.3,15.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Pedro Martinez P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Derek Lowe P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,27.0,3.0,4.0,3.0,3.0,11.0,31.0,0.148,0.233,0.222,0.456,120.0,75.0,0.052,0.52,0.326,-0.274,0.05%,0.82,-1.4,27.0,5.0,
