Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3","Top of the 1st, Devil Rays Batting, Tied 0-0, Red Sox' Curt Schilling facing 1-2-3"
t1,0-0,0,---,"2,(0-1) CX",,TBD,Julio Lugo,Curt Schilling,-6%,44%,Double to LF (Line Drive to LF Line)
t1,0-0,0,-2-,"2,(1-0) BX",O,TBD,Carl Crawford,Curt Schilling,2%,46%,Bunt Groundout: 1B-2B/Sacrifice; Lugo to 3B
t1,0-0,1,--3,"2,(0-1) CX",R,TBD,Jorge Cantu,Curt Schilling,-5%,41%,Single to CF (Line Drive); Lugo Scores
t1,1-0,1,1--,"7,(2-2) BCSFBFS",O,TBD,Aubrey Huff,Curt Schilling,3%,43%,Strikeout Swinging
t1,1-0,2,1--,"5,(2-2) CBCBS",O,TBD,Jonny Gomes,Curt Schilling,2%,45%,Strikeout Swinging
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Devil Rays 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Devil Rays 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Devil Rays 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Devil Rays' Scott Kazmir facing 1-2-3"
b1,0-1,0,---,"1,(0-0) H",,BOS,Tony Graffanino,Scott Kazmir,4%,49%,Hit By Pitch
b1,0-1,0,1--,"5,(2-2) BF1BFS",O,BOS,Edgar Renteria,Scott Kazmir,-4%,45%,Strikeout Swinging
