Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Vicente Padilla,7,9,3,3,1,6,1,5.15,30,94,66,35,14,17,6,16,5,0,52.0,,,0.079,0.96,0.06%,1.26,1.1
"Francisco Cordero, L (5-4)",1,1,1,1,1,0,0,5.52,4,16,11,6,0,5,0,3,2,0,,0.0,0.0,-0.204,1.74,-0.16%,2.29,-0.4
Team Totals,8,10,4,4,2,6,1,4.5,34,110,77,41,14,22,6,19,7,0,52.0,0.0,0.0,-0.125,1.05,-0.10%,1.38,0.6
