Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Casey Fossum, L (2-3)",4.2,6,4,4,1,8,0,3.44,21,88,57,34,7,16,2,10,7,0,43.0,,,-0.156,0.95,-0.16%,1.61,-1.5
Frank Castillo,3.1,6,2,2,1,0,0,5.37,16,66,37,26,3,8,8,7,3,0,,1.0,0.0,0.048,0.27,0.05%,0.45,0.7
Alan Embree,1.0,1,0,0,0,1,0,1.99,4,18,11,8,1,2,1,2,0,0,,2.0,2.0,-0.004,0.04,-0.00%,0.06,-0.1
Team Totals,9.0,13,6,6,2,9,0,6.0,41,172,105,68,11,26,11,19,10,0,43.0,3.0,2.0,-0.112,0.58,-0.11%,0.98,-1.0
