0,1,2
1.0,Randy Winn,CF
2.0,Steve Cox,LF
3.0,Greg Vaughn,DH
4.0,Fred McGriff,1B
5.0,Ben Grieve,RF
6.0,Vinny Castilla,3B
7.0,Bob Smith,2B
8.0,John Flaherty,C
9.0,Felix Martinez,SS
,Travis Harper,P
