Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Adam Loewen, L (2-4)",2.1,6,6,6,2,3,0,6.41,16,76,41,22,6,13,6,4,2,0,22.0,,,-0.23,1.21,0.00%,0.0,-3.3
Rodrigo Lopez,4.2,7,3,3,2,5,0,6.2,23,87,51,29,7,15,7,9,4,0,,2.0,2.0,-0.077,0.14,0.00%,0.0,-1.7
Russ Ortiz,1.0,0,0,0,0,1,0,9.63,3,9,6,3,1,2,1,1,0,0,,0.0,0.0,0.0,0.0,0.00%,0.0,0.6
Team Totals,8.0,13,9,9,4,9,0,10.12,42,172,98,54,14,30,14,14,6,0,22.0,2.0,2.0,-0.307,0.53,0.00%,0.0,-4.4
