Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b8,3-4,0,---,"3,(2-0) .BBX",R,BOS,David Ortiz,Vinnie Chulk,29%,61%,Home Run (Fly Ball to Deep LF)
b9,4-4,1,12-,"6,(3-2) F*BFBBX",R,BOS,David Ortiz,Miguel Batista,28%,100%,Single to LF (Ground Ball thru LF-CF); Damon Scores; Renteria to 2B
b6,1-4,0,1--,"2,(0-1) .CX",RR,BOS,Manny Ramirez,Jason Frasor,19%,41%,Home Run (Fly Ball to Deep RF); Ortiz Scores
b8,4-4,0,1--,"1,(0-0) X",,BOS,Jason Varitek,Vinnie Chulk,17%,85%,Single to CF (Line Drive); Ramirez to 3B
t5,2-1,0,1--,"5,(2-2) BLSBX",RR,TOR,Frank Catalanotto,Matt Clement,-16%,17%,Home Run (Fly Ball to Deep RF); Adams Scores
