0,1,2
1.0,Reed Johnson,RF
2.0,Orlando Hudson,2B
3.0,Vernon Wells,CF
4.0,Carlos Delgado,1B
5.0,Frank Catalanotto,DH
6.0,Eric Hinske,3B
7.0,Gregg Zaun,C
8.0,Gabe Gross,LF
9.0,Chris Woodward,SS
,Ted Lilly,P
