Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
t2,1-0,2,-2-,"6,(2-2) SC*BF*BX",R,TOR,Bo Bichette,Garrett Richards,-9%,33%,Single to CF (Ground Ball thru SS-2B); McGuire Scores; Bichette to 2B
t2,2-0,2,-2-,"6,(3-2) FBSBB*B",,TOR,Vladimir Guerrero Jr.,Garrett Richards,-1%,32%,Walk
t2,2-0,2,12-,"2,(0-1) CX",R,TOR,Teoscar Hernandez,Garrett Richards,-8%,24%,Single to LF (Line Drive to Deep LF); Bichette Scores; Guerrero to 2B
t2,3-0,2,12-,"4,(1-2) BFSS",O,TOR,Randal Grichuk,Garrett Richards,3%,27%,Strikeout Swinging
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Blue Jays 3, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Blue Jays 3, Red Sox 0.","2 runs, 3 hits, 0 errors, 2 LOB. Blue Jays 3, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Blue Jays' Ross Stripling facing 5-6-7"
b2,0-3,0,---,"2,(0-1) CX",O,BOS,Hunter Renfroe,Ross Stripling,-2%,25%,Groundout: SS-1B (Deep SS)
b2,0-3,1,---,"4,(1-2) CBCT",O,BOS,Christian Vazquez,Ross Stripling,-2%,23%,Strikeout Swinging
b2,0-3,2,---,"1,(0-0) X",O,BOS,Christian Arroyo,Ross Stripling,-1%,22%,Flyball: CF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 3, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 3, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 3, Red Sox 0."
