Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Twins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"2,(1-0) BX",,MIN,Brian Dozier,David Price,-6%,44%,Double to CF (Line Drive to Deep LF-CF)
t1,0-0,0,-2-,"5,(2-2) CBFBX",O,MIN,Robbie Grossman,David Price,2%,46%,Flyball: CF (Deep CF-RF); Dozier to 3B
t1,0-0,1,--3,"1,(0-0) X",RO,MIN,Joe Mauer,David Price,-2%,44%,Groundout: SS-1B (Deep SS-2B); Dozier Scores
t1,1-0,2,---,"7,(3-2) CSBBFBX",O,MIN,Miguel Sano,David Price,1%,45%,Flyball: RF (Deep RF Line)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 1-2-3"
b1,0-1,0,---,"6,(3-2) BCBCBX",O,BOS,Mookie Betts,Kyle Gibson,-2%,43%,Groundout: 2B-1B
b1,0-1,1,---,"1,(0-0) X",,BOS,Andrew Benintendi,Kyle Gibson,3%,46%,Single to RF (Line Drive to Deep RF Line)
b1,0-1,1,1--,"4,(0-2) C1C1FX",OO,BOS,Xander Bogaerts,Kyle Gibson,-5%,40%,Ground Ball Double Play: 2B-1B (SS-2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Twins 1, Red Sox 0."
"Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7","Top of the 2nd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 5-6-7"
t2,1-0,0,---,"3,(1-1) BSX",O,MIN,Eduardo Escobar,David Price,2%,42%,Flyball: RF (RF Line)
t2,1-0,1,---,"4,(1-2) CBSS",O,MIN,Jorge Polanco,David Price,2%,44%,Strikeout Swinging
t2,1-0,2,---,"6,(2-2) CBSBFT",O,MIN,Max Kepler,David Price,1%,45%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Twins' Kyle Gibson facing 4-5-6"
b2,0-1,0,---,"6,(3-2) CBFBBX",O,BOS,Mitch Moreland,Kyle Gibson,-3%,42%,Groundout: P-1B
b2,0-1,1,---,"6,(2-2) CBFBFX",O,BOS,Hanley Ramirez,Kyle Gibson,-2%,41%,Popfly: 2B (Short CF)
b2,0-1,2,---,"2,(1-0) BX",O,BOS,Jackie Bradley Jr.,Kyle Gibson,-1%,39%,Lineout: 1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0."
"Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Twins Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1"
t3,1-0,0,---,"4,(2-1) BBFX",O,MIN,Chris Gimenez,David Price,2%,42%,Groundout: 3B-1B (SS-3B Hole)
t3,1-0,1,---,"6,(2-2) CFBFBX",O,MIN,Byron Buxton,David Price,2%,43%,Groundout: SS-1B
t3,1-0,2,---,"6,(3-2) BCFBBX",O,MIN,Brian Dozier,David Price,1%,44%,Flyball: CF (Deep CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Twins 1, Red Sox 0."
