Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Andrew Heaney,3.1,8,6,6,3,4,3,3.95,21,78,48,27,7,14,2,12,6,0,21.0,,,-0.337,0.67,-0.10%,0.32,-5.5
Hansel Robles,0.2,0,0,0,0,0,0,5.24,2,10,7,6,0,1,2,0,0,0,,3.0,0.0,0.017,0.3,0.01%,0.14,1.6
Cam Bedrosian,1.0,1,0,0,0,1,0,3.44,4,21,13,5,4,4,2,1,1,0,,0.0,0.0,0.009,0.17,0.00%,0.08,0.5
Justin Anderson,1.0,0,0,0,0,0,0,3.86,3,8,5,4,0,1,1,2,0,0,,0.0,0.0,0.032,0.4,0.01%,0.19,0.5
"Jose Alvarez, L (3-3)",1.0,2,2,2,1,0,0,3.09,6,26,15,10,2,3,2,3,2,0,,0.0,0.0,-0.269,1.13,-0.08%,0.53,-1.5
Jake Jewell,0.2,1,1,1,1,0,0,9.0,4,21,10,6,2,2,1,2,1,0,,0.0,0.0,-0.033,0.32,-0.01%,0.15,-0.8
Blake Parker,0.1,0,0,0,0,0,0,3.29,1,6,3,2,0,1,0,1,0,0,,1.0,0.0,0.006,0.22,0.00%,0.1,0.4
Team Totals,8.0,12,9,9,5,5,3,10.12,41,170,101,60,15,26,10,21,10,0,21.0,4.0,0.0,-0.575,0.59,-0.16%,0.28,-4.8
