Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"8,(3-2) CBFFBBFS",O,COL,Charlie Blackmon,Eduardo Rodriguez,2%,52%,Strikeout Swinging
t1,0-0,1,---,"4,(1-2) CCBX",,COL,Trevor Story,Eduardo Rodriguez,-2%,50%,Single to P (Ground Ball to Weak SS-2B)
t1,0-0,1,1--,"6,(2-2) BFCBFT",O,COL,Nolan Arenado,Eduardo Rodriguez,3%,53%,Strikeout Swinging
t1,0-0,2,1--,"4,(2-1) BBCX",O,COL,Mark Reynolds,Eduardo Rodriguez,2%,55%,Popfly: 2B (Deep 2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rockies' German Marquez facing 1-2-3"
b1,0-0,0,---,"5,(1-2) FBFFX",,BOS,Andrew Benintendi,German Marquez,3%,58%,Single to RF (Ground Ball thru 2B-1B)
b1,0-0,0,1--,"3,(0-2) FCX",,BOS,Mookie Betts,German Marquez,8%,66%,Single to CF (Line Drive to Deep LF-CF); Benintendi to 3B
b1,0-0,0,1-3,"3,(1-1) B1F1X",R,BOS,J.D. Martinez,German Marquez,8%,74%,Single to RF (Ground Ball thru 2B-1B); Benintendi Scores; Betts to 3B
b1,1-0,0,1-3,"3,(1-1) FBX",ROO,BOS,Mitch Moreland,German Marquez,-5%,69%,Ground Ball Double Play: 2B-SS-1B; Betts Scores/No RBI
