Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Chris Sale, W (2-2)",8,3,2,2,2,11,1,1.38,29,115,78,45,17,16,7,9,4,0,77.0,,,0.298,1.01,0.20%,1.15,2.4
"Craig Kimbrel, S (9)",1,0,0,0,0,1,0,1.46,3,12,7,4,2,1,1,1,0,0,,0.0,0.0,0.038,0.48,0.03%,0.55,0.6
Team Totals,9,3,2,2,2,12,1,2.0,32,127,85,49,19,17,8,10,4,0,77.0,0.0,0.0,0.336,0.96,0.23%,1.09,3.0
