Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Tigers Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
t1,0-0,0,---,"3,(2-0) BBX",O,DET,Ian Kinsler,Chris Sale,2%,52%,Lineout: CF (Deep CF)
t1,0-0,1,---,"5,(2-2) CSBBS",O,DET,Nick Castellanos,Chris Sale,2%,54%,Strikeout Swinging
t1,0-0,2,---,"6,(2-2) SBFFBX",,DET,Miguel Cabrera,Chris Sale,-1%,53%,Single to RF (Ground Ball)
t1,0-0,2,1--,"2,(0-1) FX",,DET,Victor Martinez,Chris Sale,-2%,51%,Single to LF (Line Drive to Short LF); Cabrera to 2B
t1,0-0,2,12-,"4,(1-2) SBCX",O,DET,J.D. Martinez,Chris Sale,4%,55%,Lineout: CF (CF-RF)
,,,,,,,,,"0 runs, 2 hits, 0 errors, 2 LOB. Tigers 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 2 LOB. Tigers 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 2 LOB. Tigers 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Tigers' Justin Verlander facing 1-2-3"
b1,0-0,0,---,"5,(2-2) CSBBX",O,BOS,Mookie Betts,Justin Verlander,-2%,53%,Flyball: CF (Deep LF-CF)
b1,0-0,1,---,"2,(1-0) BX",O,BOS,Dustin Pedroia,Justin Verlander,-2%,51%,Popfly: 2B (Deep SS-2B)
