Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.263,0.33,0.419,0.749,0.303,2.7%,18.5%,8.4%,19.5%,42.4%,28.6%,0.78,-4.8,-0.7%,-45.7
Atlanta Braves,0.254,0.323,0.39,0.713,0.305,1.9%,19.9%,8.5%,18.2%,44.8%,28.4%,0.86,8.0,3.0%,85.7
Chicago Cubs,0.246,0.324,0.391,0.715,0.291,2.6%,20.6%,9.5%,16.9%,42.2%,29.6%,0.77,8.4,3.6%,67.8
Cincinnati Reds,0.258,0.333,0.418,0.751,0.287,3.0%,17.1%,9.2%,20.0%,41.5%,28.5%,0.74,4.1,0.5%,4.8
Colorado Rockies,0.261,0.328,0.405,0.733,0.304,2.3%,18.7%,8.6%,19.6%,46.3%,25.3%,0.91,8.5,8.7%,42.7
Florida Marlins,0.257,0.333,0.408,0.741,0.304,2.5%,19.8%,9.5%,19.9%,42.3%,28.0%,0.77,-1.6,-2.4%,-37.0
Houston Astros,0.275,0.344,0.44,0.784,0.317,2.8%,18.3%,8.8%,16.6%,45.3%,28.8%,0.87,-4.8,-2.0%,-63.7
Los Angeles Dodgers,0.233,0.312,0.361,0.673,0.28,2.1%,20.6%,9.5%,17.3%,42.9%,27.8%,0.79,9.3,7.5%,106.5
Milwaukee Brewers,0.268,0.345,0.45,0.795,0.299,3.3%,17.4%,9.6%,18.6%,42.0%,29.7%,0.76,-9.2,-5.4%,-108.9
New York Mets,0.264,0.342,0.418,0.759,0.297,2.5%,16.4%,9.8%,19.5%,41.8%,27.7%,0.75,-6.9,-1.9%,-56.3
Philadelphia Phillies,0.265,0.329,0.427,0.757,0.3,3.0%,18.4%,7.8%,19.7%,40.2%,28.6%,0.7,-0.4,1.8%,18.7
Pittsburgh Pirates,0.276,0.346,0.442,0.788,0.305,2.5%,15.0%,9.2%,17.1%,43.4%,29.9%,0.8,-10.2,-1.3%,-67.9
San Diego Padres,0.258,0.333,0.406,0.739,0.298,2.7%,18.9%,9.6%,18.5%,42.4%,29.2%,0.77,-4.6,-2.0%,-80.6
San Francisco Giants,0.236,0.314,0.372,0.686,0.284,2.3%,21.3%,9.6%,18.5%,42.1%,28.8%,0.77,13.6,10.0%,111.9
St. Louis Cardinals,0.258,0.319,0.386,0.706,0.296,2.0%,17.2%,7.6%,18.6%,49.1%,22.8%,1.02,6.9,5.7%,68.9
Washington Nationals,0.276,0.352,0.45,0.802,0.302,2.7%,14.4%,9.9%,20.6%,43.6%,26.3%,0.81,-17.8,-3.7%,-167.9
League Average,0.259,0.332,0.412,0.743,0.298,2.6%,18.3%,9.1%,18.7%,43.3%,28.0%,0.8,,,
,0.259,0.332,0.412,0.743,0.298,2.6%,18.3%,9.1%,18.7%,43.3%,28.0%,0.8,,,
