Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.259,0.321,0.428,0.749,0.293,3.3%,19.0%,7.7%,22.4%,42.1%,25.9%,0.76,-3.8,-3.2%,-4.0
Boston Red Sox,0.248,0.316,0.393,0.71,0.295,2.5%,21.1%,8.5%,21.8%,42.7%,26.2%,0.77,4.8,4.6%,53.0
Chicago White Sox,0.256,0.322,0.408,0.73,0.297,2.9%,20.1%,8.2%,21.2%,43.4%,25.8%,0.79,-2.4,0.4%,-12.3
Cleveland Indians,0.249,0.322,0.386,0.708,0.305,2.4%,22.4%,9.0%,23.4%,44.3%,23.4%,0.83,3.2,1.5%,17.9
Detroit Tigers,0.247,0.308,0.373,0.681,0.308,2.1%,23.3%,7.6%,20.9%,45.3%,25.0%,0.86,8.3,6.2%,85.8
Houston Astros,0.272,0.347,0.445,0.792,0.305,3.0%,17.0%,9.7%,21.7%,44.0%,24.9%,0.81,-14.2,-2.0%,-162.6
Kansas City Royals,0.25,0.311,0.387,0.699,0.292,2.6%,20.0%,7.8%,23.1%,41.7%,26.3%,0.73,9.8,2.2%,107.2
Los Angeles Angels of Anaheim,0.261,0.328,0.408,0.736,0.303,2.7%,19.1%,8.5%,23.7%,41.7%,24.9%,0.74,-5.3,-2.0%,-58.6
Minnesota Twins,0.28,0.336,0.434,0.77,0.311,2.7%,15.7%,7.3%,22.3%,43.8%,25.1%,0.8,-7.9,-2.2%,-86.6
New York Yankees,0.261,0.318,0.413,0.731,0.305,2.8%,20.1%,7.1%,21.9%,44.1%,26.3%,0.81,6.9,2.9%,25.6
Oakland Athletics,0.242,0.299,0.379,0.678,0.278,2.7%,19.5%,7.1%,23.1%,39.3%,26.6%,0.67,8.4,6.8%,63.2
Seattle Mariners,0.259,0.319,0.417,0.736,0.305,2.8%,20.7%,7.6%,23.7%,45.2%,23.2%,0.85,-4.4,-0.8%,-87.6
Tampa Bay Rays,0.24,0.305,0.381,0.686,0.286,2.5%,21.5%,7.9%,22.2%,44.8%,24.3%,0.83,5.2,8.1%,50.9
Texas Rangers,0.248,0.313,0.387,0.701,0.296,2.6%,21.3%,8.1%,25.0%,42.9%,23.4%,0.77,9.3,8.0%,74.1
Toronto Blue Jays,0.259,0.324,0.426,0.75,0.295,3.1%,19.3%,8.0%,21.6%,44.5%,25.2%,0.82,-5.7,-1.9%,-54.4
League Average,0.256,0.32,0.405,0.724,0.298,2.7%,20.0%,8.0%,22.5%,43.3%,25.1%,0.79,,,
,0.256,0.32,0.405,0.724,0.298,2.7%,20.0%,8.0%,22.5%,43.3%,25.1%,0.79,,,
