Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.284,0.357,0.462,0.819,0.311,3.4%,16.1%,9.7%,19.7%,42.0%,29.9%,0.75,-8.6,-2.2%,-120.3
Boston Red Sox,0.279,0.343,0.447,0.789,0.313,2.9%,17.0%,8.1%,18.9%,43.7%,28.0%,0.8,0.7,-2.9%,-12.0
Chicago White Sox,0.271,0.326,0.44,0.766,0.296,3.2%,16.2%,7.0%,16.9%,42.7%,30.0%,0.77,2.8,1.1%,20.3
Cleveland Indians,0.282,0.335,0.431,0.766,0.311,2.7%,15.3%,6.9%,18.5%,44.7%,27.5%,0.83,-6.7,-2.9%,-1.6
Detroit Tigers,0.257,0.321,0.405,0.725,0.286,2.6%,16.3%,8.0%,18.5%,45.5%,26.3%,0.86,13.4,9.1%,123.7
Kansas City Royals,0.292,0.367,0.476,0.843,0.314,3.3%,14.1%,9.9%,20.4%,41.9%,29.4%,0.74,-16.7,-2.1%,-180.6
Los Angeles Angels of Anaheim,0.254,0.316,0.402,0.719,0.294,2.6%,18.9%,7.7%,16.6%,41.9%,32.1%,0.74,10.9,4.5%,68.5
Minnesota Twins,0.267,0.312,0.423,0.735,0.305,3.0%,19.2%,5.9%,17.3%,43.7%,29.7%,0.8,12.4,8.4%,103.3
New York Yankees,0.262,0.326,0.413,0.74,0.291,2.7%,16.4%,8.0%,17.7%,43.2%,29.1%,0.78,3.6,2.6%,31.8
Oakland Athletics,0.272,0.338,0.422,0.759,0.303,2.6%,16.0%,8.4%,19.1%,42.3%,28.3%,0.75,9.3,9.6%,60.9
Seattle Mariners,0.267,0.337,0.432,0.769,0.299,2.9%,17.0%,8.9%,18.7%,43.1%,28.3%,0.78,3.5,0.9%,-8.5
Tampa Bay Devil Rays,0.286,0.358,0.452,0.81,0.315,2.8%,15.4%,9.5%,19.3%,41.9%,29.2%,0.74,-8.1,-2.3%,-79.1
Texas Rangers,0.278,0.341,0.424,0.766,0.309,2.6%,15.6%,8.0%,18.8%,46.4%,26.8%,0.89,-2.1,-2.2%,9.2
Toronto Blue Jays,0.262,0.328,0.422,0.75,0.293,3.0%,17.5%,8.2%,19.1%,45.9%,25.5%,0.88,3.3,-0.7%,35.6
League Average,0.272,0.336,0.432,0.769,0.303,2.9%,16.5%,8.2%,18.5%,43.5%,28.6%,0.79,,,
,0.272,0.336,0.432,0.769,0.303,2.9%,16.5%,8.2%,18.5%,43.5%,28.6%,0.79,,,
