Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.266,0.35,0.439,0.79,0.302,3.1%,18.0%,10.4%,18.9%,45.0%,27.0%,0.86,-13.5,-2.2%,-138.8
Atlanta Braves,0.265,0.329,0.4,0.729,0.299,2.5%,16.5%,8.4%,18.8%,45.8%,27.0%,0.89,9.1,6.5%,91.1
Chicago Cubs,0.247,0.321,0.395,0.716,0.295,2.7%,21.5%,8.7%,17.2%,44.3%,27.0%,0.85,9.2,11.6%,101.9
Cincinnati Reds,0.28,0.348,0.481,0.83,0.301,3.7%,15.4%,8.9%,20.1%,41.6%,26.7%,0.75,-10.9,-6.7%,-167.8
Colorado Rockies,0.29,0.372,0.471,0.843,0.316,3.0%,14.5%,10.7%,19.6%,44.0%,26.0%,0.83,-15.0,-3.7%,-134.4
Florida Marlins,0.256,0.324,0.412,0.735,0.292,2.7%,18.3%,8.4%,18.1%,43.3%,27.3%,0.8,1.2,0.7%,31.4
Houston Astros,0.258,0.328,0.417,0.745,0.305,2.8%,20.7%,8.5%,19.3%,43.6%,26.4%,0.81,6.2,7.8%,57.0
Los Angeles Dodgers,0.254,0.323,0.408,0.732,0.284,2.9%,17.3%,8.5%,18.7%,40.7%,27.7%,0.73,7.2,7.8%,55.5
Milwaukee Brewers,0.259,0.32,0.417,0.737,0.293,2.6%,17.7%,7.7%,19.9%,43.3%,26.1%,0.8,-0.3,2.4%,-7.6
Montreal Expos,0.266,0.342,0.431,0.772,0.294,3.0%,16.4%,9.2%,18.7%,44.5%,27.4%,0.84,0.1,0.5%,-1.0
New York Mets,0.261,0.335,0.405,0.74,0.289,2.5%,15.4%,9.4%,16.9%,45.0%,27.7%,0.86,1.5,0.9%,18.1
Philadelphia Phillies,0.264,0.33,0.448,0.778,0.291,3.4%,17.0%,8.0%,19.1%,40.9%,27.9%,0.73,-0.1,-1.5%,0.8
Pittsburgh Pirates,0.267,0.342,0.416,0.758,0.306,2.4%,17.4%,9.3%,18.4%,44.1%,27.4%,0.83,-1.5,-1.1%,-6.8
San Diego Padres,0.263,0.318,0.431,0.749,0.295,3.0%,17.6%,6.9%,17.8%,42.4%,29.3%,0.77,1.7,0.3%,12.4
San Francisco Giants,0.265,0.332,0.423,0.755,0.295,2.6%,16.1%,8.7%,18.8%,44.1%,26.8%,0.83,-2.3,-2.5%,-10.5
St. Louis Cardinals,0.251,0.313,0.403,0.715,0.28,2.8%,17.1%,7.2%,18.9%,47.2%,24.8%,0.94,12.7,5.0%,93.0
League Average,0.263,0.333,0.425,0.758,0.296,2.9%,17.3%,8.7%,18.7%,43.7%,27.0%,0.82,,,
,0.263,0.333,0.425,0.758,0.296,2.9%,17.3%,8.7%,18.7%,43.7%,27.0%,0.82,,,
