Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.246,0.319,0.421,0.741,0.283,3.5%,21.7%,8.6%,89.1,39.9%,29.0%,42.8%,20.6%,0.76,-1.5,-1.3%,-5.3
Boston Red Sox,0.281,0.365,0.484,0.849,0.334,4.1%,22.5%,10.6%,88.4,39.9%,30.0%,43.3%,20.3%,0.78,-5.4,-1.8%,-57.8
Chicago White Sox,0.226,0.309,0.379,0.688,0.271,3.2%,23.4%,9.7%,87.7,37.9%,28.3%,44.3%,19.5%,0.81,3.4,2.1%,38.3
Cleveland Indians,0.223,0.288,0.378,0.666,0.287,3.1%,28.5%,7.2%,87.3,35.3%,29.4%,40.9%,21.9%,0.7,9.3,5.4%,81.5
Detroit Tigers,0.265,0.34,0.464,0.804,0.299,4.2%,20.4%,8.8%,89.0,41.2%,29.5%,42.2%,21.9%,0.75,-3.9,-2.9%,-52.0
Houston Astros,0.239,0.322,0.407,0.729,0.289,3.1%,23.5%,9.7%,87.7,36.3%,29.0%,44.1%,18.7%,0.8,1.1,2.3%,13.4
Kansas City Royals,0.254,0.332,0.415,0.747,0.304,3.4%,23.2%,9.5%,88.8,40.1%,29.1%,44.2%,19.1%,0.8,2.1,0.2%,9.9
Los Angeles Angels,0.245,0.316,0.43,0.746,0.287,3.6%,23.2%,8.8%,88.2,38.5%,28.5%,39.3%,22.9%,0.66,-3.1,-1.8%,-33.0
Minnesota Twins,0.232,0.301,0.372,0.673,0.288,2.9%,25.1%,8.0%,87.2,35.5%,29.3%,40.7%,19.6%,0.7,6.3,4.0%,60.5
New York Yankees,0.236,0.305,0.421,0.726,0.282,3.9%,24.8%,7.9%,87.8,37.5%,26.8%,43.3%,21.7%,0.77,0.9,0.8%,-0.1
Oakland Athletics,0.24,0.302,0.392,0.693,0.286,3.2%,23.4%,7.6%,88.2,37.8%,26.2%,41.0%,22.5%,0.71,6.5,3.6%,41.1
Seattle Mariners,0.245,0.333,0.425,0.758,0.281,3.5%,20.9%,10.2%,89.1,38.9%,27.5%,40.5%,22.8%,0.68,-1.6,-2.4%,-31.1
Tampa Bay Rays,0.238,0.305,0.391,0.696,0.293,3.2%,25.0%,7.6%,86.8,35.4%,27.2%,45.3%,19.7%,0.85,7.4,2.6%,50.4
Texas Rangers,0.242,0.329,0.419,0.749,0.279,3.6%,21.5%,10.4%,88.0,39.0%,27.6%,40.6%,22.8%,0.7,-3.6,-1.4%,-36.0
Toronto Blue Jays,0.255,0.339,0.436,0.775,0.303,3.5%,22.5%,10.8%,87.7,37.1%,27.3%,43.1%,20.4%,0.77,1.0,1.0%,-23.6
League Average,0.245,0.321,0.416,0.737,0.291,3.5%,23.3%,9.1%,88.1,38.1%,28.3%,42.4%,21.0%,0.75,,,
,0.245,0.321,0.416,0.737,0.291,3.5%,23.3%,9.1%,88.1,38.1%,28.3%,42.4%,21.0%,0.75,,,
