Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.277,0.341,0.46,0.801,0.305,3.3%,16.5%,8.5%,17.1%,43.0%,31.2%,0.78,-9.7,-1.1%,-131.9
Boston Red Sox,0.247,0.322,0.392,0.714,0.288,2.5%,19.4%,8.7%,16.3%,41.6%,30.9%,0.74,3.3,0.2%,9.2
Chicago White Sox,0.261,0.317,0.397,0.714,0.306,2.4%,19.7%,7.1%,19.6%,43.7%,26.7%,0.81,8.2,3.1%,40.5
Cleveland Indians,0.263,0.323,0.413,0.737,0.295,2.5%,16.4%,7.4%,19.0%,45.2%,26.8%,0.85,0.7,2.2%,-59.6
Detroit Tigers,0.257,0.321,0.396,0.717,0.295,2.4%,18.3%,8.1%,18.0%,44.4%,28.7%,0.82,7.0,5.0%,9.8
Kansas City Royals,0.267,0.337,0.425,0.762,0.303,2.6%,17.2%,8.9%,17.2%,43.4%,29.6%,0.8,-6.6,-1.8%,-41.7
Los Angeles Angels of Anaheim,0.251,0.313,0.388,0.7,0.285,2.3%,17.3%,7.8%,15.9%,44.4%,30.2%,0.83,8.2,5.4%,63.4
Minnesota Twins,0.281,0.34,0.435,0.775,0.31,2.6%,15.1%,7.7%,17.0%,43.9%,29.9%,0.81,-9.2,-1.3%,-100.1
New York Yankees,0.256,0.322,0.399,0.721,0.3,2.5%,19.7%,8.2%,18.9%,44.3%,28.1%,0.82,10.9,8.3%,86.5
Oakland Athletics,0.25,0.317,0.378,0.696,0.292,2.2%,18.8%,8.4%,18.8%,43.4%,26.9%,0.79,4.6,2.3%,29.7
Seattle Mariners,0.251,0.31,0.386,0.696,0.287,2.4%,18.1%,7.3%,18.9%,43.4%,28.0%,0.8,-1.4,2.0%,-0.3
Tampa Bay Rays,0.234,0.303,0.383,0.686,0.267,2.7%,19.0%,8.4%,17.4%,41.6%,30.3%,0.73,6.3,5.1%,83.2
Texas Rangers,0.244,0.307,0.392,0.698,0.28,2.8%,19.6%,7.7%,17.5%,42.5%,29.6%,0.77,6.8,5.5%,66.5
Toronto Blue Jays,0.256,0.328,0.419,0.747,0.293,2.9%,18.6%,8.6%,18.8%,43.6%,28.5%,0.8,-0.7,-0.4%,-20.1
League Average,0.257,0.322,0.405,0.726,0.293,2.6%,18.1%,8.0%,17.9%,43.5%,29.0%,0.8,,,
,0.257,0.322,0.405,0.726,0.293,2.6%,18.1%,8.0%,17.9%,43.5%,29.0%,0.8,,,
