Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.27,0.336,0.434,0.77,0.298,3.0%,16.1%,8.3%,17.8%,41.5%,30.9%,0.73,-7.4,-2.0%,-75.7
Boston Red Sox,0.253,0.327,0.399,0.726,0.295,2.4%,19.3%,9.3%,18.9%,42.9%,28.5%,0.78,0.7,0.9%,-2.8
Chicago White Sox,0.264,0.325,0.395,0.72,0.308,2.2%,18.6%,7.9%,18.7%,44.1%,28.1%,0.82,2.7,-0.1%,21.3
Cleveland Indians,0.269,0.342,0.416,0.758,0.3,2.4%,15.5%,9.2%,18.3%,47.5%,26.6%,0.93,-6.0,-2.4%,-64.6
Detroit Tigers,0.262,0.332,0.4,0.732,0.299,2.3%,17.0%,8.7%,19.7%,43.4%,27.3%,0.79,-3.2,-2.0%,-25.1
Kansas City Royals,0.276,0.342,0.435,0.777,0.307,2.8%,16.3%,8.7%,19.8%,41.3%,29.2%,0.73,-8.4,-2.4%,-138.2
Los Angeles Angels of Anaheim,0.256,0.327,0.403,0.731,0.295,2.4%,18.1%,9.0%,17.2%,42.3%,31.3%,0.76,5.7,0.8%,2.7
Minnesota Twins,0.266,0.317,0.417,0.734,0.302,2.5%,17.2%,6.3%,17.5%,44.5%,28.4%,0.83,4.9,4.4%,38.4
New York Yankees,0.249,0.322,0.399,0.721,0.283,2.9%,18.9%,8.9%,17.8%,43.4%,29.3%,0.79,4.9,4.7%,41.5
Oakland Athletics,0.245,0.313,0.379,0.692,0.277,2.6%,17.8%,8.5%,18.4%,45.3%,26.8%,0.86,6.4,1.8%,76.8
Seattle Mariners,0.255,0.313,0.401,0.714,0.281,2.6%,16.0%,7.4%,20.1%,42.2%,28.3%,0.76,-1.8,-1.2%,-10.4
Tampa Bay Rays,0.244,0.308,0.404,0.711,0.28,2.9%,19.5%,7.8%,18.4%,40.5%,31.2%,0.7,7.7,7.9%,56.3
Texas Rangers,0.246,0.319,0.39,0.709,0.283,2.6%,19.0%,8.9%,17.7%,40.6%,31.3%,0.71,5.9,5.0%,63.5
Toronto Blue Jays,0.255,0.326,0.405,0.731,0.299,2.4%,19.2%,8.7%,19.2%,45.0%,26.8%,0.84,1.8,-0.5%,-8.4
League Average,0.258,0.325,0.406,0.731,0.294,2.6%,17.7%,8.4%,18.5%,43.2%,28.9%,0.79,,,
,0.258,0.325,0.406,0.731,0.294,2.6%,17.7%,8.4%,18.5%,43.2%,28.9%,0.79,,,
