Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.288,0.353,0.476,0.828,0.309,3.4%,14.7%,8.6%,18.6%,42.2%,30.2%,0.75,-8.7,-1.7%,-102.8
Boston Red Sox,0.267,0.335,0.422,0.757,0.313,2.7%,19.6%,8.4%,18.5%,40.7%,30.6%,0.71,8.4,9.0%,57.6
Chicago White Sox,0.261,0.325,0.414,0.739,0.297,2.8%,18.2%,8.2%,17.8%,44.1%,28.3%,0.82,6.0,1.2%,58.5
Cleveland Indians,0.28,0.351,0.443,0.793,0.308,2.9%,15.5%,9.4%,18.9%,42.6%,29.0%,0.77,-11.3,-3.2%,-110.6
Detroit Tigers,0.263,0.336,0.422,0.759,0.296,2.9%,17.7%,9.5%,20.2%,42.4%,27.9%,0.76,6.1,3.0%,34.5
Kansas City Royals,0.269,0.343,0.422,0.765,0.31,2.7%,18.4%,9.6%,18.4%,43.0%,29.1%,0.79,-7.1,-1.4%,-86.7
Los Angeles Angels of Anaheim,0.272,0.338,0.432,0.77,0.305,2.9%,17.0%,8.4%,17.1%,41.4%,31.4%,0.73,4.2,2.1%,9.7
Minnesota Twins,0.272,0.331,0.431,0.762,0.303,3.0%,16.8%,7.4%,17.5%,41.1%,30.8%,0.71,2.8,3.4%,7.9
New York Yankees,0.251,0.327,0.408,0.734,0.292,2.9%,20.2%,9.2%,19.6%,42.5%,28.3%,0.76,9.4,5.9%,48.2
Oakland Athletics,0.265,0.329,0.413,0.742,0.304,2.5%,18.0%,8.4%,18.2%,43.7%,29.1%,0.8,0.7,0.1%,8.9
Seattle Mariners,0.247,0.316,0.394,0.71,0.274,2.8%,16.9%,8.7%,20.0%,40.9%,29.9%,0.71,9.2,3.3%,64.5
Tampa Bay Rays,0.257,0.324,0.417,0.741,0.291,3.0%,18.3%,8.4%,20.9%,40.8%,29.2%,0.71,0.8,0.8%,10.6
Texas Rangers,0.26,0.331,0.416,0.747,0.289,2.8%,16.5%,8.6%,20.7%,42.5%,27.4%,0.76,6.3,6.9%,46.6
Toronto Blue Jays,0.27,0.339,0.434,0.772,0.31,2.9%,18.8%,8.8%,20.1%,44.4%,27.3%,0.82,-2.0,1.1%,8.6
League Average,0.266,0.334,0.425,0.759,0.3,2.9%,17.6%,8.7%,19.0%,42.3%,29.2%,0.76,,,
,0.266,0.334,0.425,0.759,0.3,2.9%,17.6%,8.7%,19.0%,42.3%,29.2%,0.76,,,
