Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.261,0.317,0.415,0.732,0.306,2.6%,19.8%,6.9%,18.2%,44.8%,27.6%,0.86,-1.1,-0.5%,2.6
Atlanta Braves,0.243,0.306,0.378,0.684,0.288,2.4%,20.6%,7.7%,18.5%,46.1%,27.4%,0.9,10.7,5.4%,95.6
Chicago Cubs,0.259,0.335,0.424,0.759,0.296,2.9%,18.4%,9.3%,19.8%,42.6%,27.5%,0.78,-10.1,-1.6%,-86.6
Cincinnati Reds,0.247,0.305,0.39,0.695,0.291,2.5%,20.6%,7.1%,19.7%,45.2%,25.5%,0.85,12.0,6.2%,109.9
Colorado Rockies,0.29,0.357,0.47,0.827,0.331,3.1%,17.9%,8.9%,21.8%,43.7%,25.1%,0.82,-16.3,-3.6%,-160.4
Houston Astros,0.27,0.337,0.427,0.765,0.312,2.8%,18.8%,8.7%,18.2%,46.7%,26.0%,0.92,-12.4,-1.4%,-119.4
Los Angeles Dodgers,0.238,0.31,0.364,0.675,0.288,2.0%,21.0%,8.9%,18.0%,44.6%,26.7%,0.85,8.1,4.8%,74.2
Miami Marlins,0.263,0.327,0.399,0.726,0.305,2.2%,18.0%,8.0%,20.3%,43.8%,26.6%,0.82,-4.1,-0.2%,-34.0
Milwaukee Brewers,0.261,0.326,0.414,0.74,0.318,2.7%,22.5%,8.4%,21.3%,43.3%,27.0%,0.8,-4.6,-1.9%,-30.6
New York Mets,0.251,0.315,0.401,0.716,0.295,2.7%,20.4%,8.0%,18.6%,41.7%,28.3%,0.75,-6.0,-5.5%,-42.9
Philadelphia Phillies,0.251,0.306,0.407,0.713,0.303,2.9%,22.8%,6.7%,18.8%,42.3%,28.2%,0.77,0.6,-1.0%,15.8
Pittsburgh Pirates,0.249,0.314,0.39,0.703,0.29,2.5%,19.6%,8.0%,18.6%,45.8%,27.0%,0.89,0.6,-0.1%,-7.9
San Diego Padres,0.248,0.319,0.398,0.718,0.289,2.6%,19.6%,8.8%,17.9%,46.5%,26.1%,0.91,-4.7,-1.1%,-61.7
San Francisco Giants,0.248,0.313,0.393,0.706,0.294,2.3%,20.2%,8.0%,18.7%,44.6%,27.1%,0.85,3.9,3.1%,1.6
St. Louis Cardinals,0.255,0.313,0.387,0.7,0.302,2.2%,19.8%,7.1%,19.4%,47.6%,24.4%,0.96,2.6,0.7%,39.6
Washington Nationals,0.237,0.303,0.373,0.676,0.287,2.1%,21.6%,8.1%,19.6%,44.7%,26.4%,0.86,11.1,7.9%,109.3
League Average,0.254,0.319,0.402,0.721,0.3,2.5%,20.1%,8.0%,19.2%,44.6%,26.7%,0.85,,,
,0.254,0.319,0.402,0.721,0.3,2.5%,20.1%,8.0%,19.2%,44.6%,26.7%,0.85,,,
