Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Anaheim Angels,0.263,0.326,0.415,0.74,0.302,2.7%,18.6%,8.0%,17.2%,41.3%,31.2%,0.73,8.8,11.7%,64.6
Baltimore Orioles,0.264,0.348,0.404,0.752,0.3,2.5%,16.9%,10.6%,18.3%,44.9%,27.4%,0.84,1.1,-0.8%,-24.9
Boston Red Sox,0.255,0.318,0.408,0.727,0.292,2.6%,18.2%,7.2%,16.7%,45.0%,28.8%,0.84,8.4,8.5%,64.9
Chicago White Sox,0.272,0.338,0.453,0.791,0.295,3.6%,16.4%,8.5%,19.0%,43.2%,27.4%,0.79,-4.0,-2.0%,-27.7
Cleveland Indians,0.271,0.342,0.445,0.787,0.304,3.1%,17.3%,9.0%,18.1%,43.7%,28.9%,0.8,-5.1,-4.0%,-65.3
Detroit Tigers,0.275,0.34,0.441,0.781,0.302,3.0%,15.8%,8.4%,18.6%,45.3%,26.4%,0.86,-6.8,-1.5%,-64.0
Kansas City Royals,0.29,0.352,0.476,0.828,0.31,3.3%,14.0%,8.2%,19.7%,40.5%,29.5%,0.7,-12.6,-3.0%,-114.8
Minnesota Twins,0.267,0.323,0.406,0.729,0.305,2.7%,17.9%,6.9%,16.1%,44.3%,29.7%,0.83,14.1,10.9%,112.3
New York Yankees,0.271,0.328,0.432,0.76,0.302,2.9%,17.0%,7.1%,17.7%,42.7%,29.1%,0.77,6.6,4.1%,-9.8
Oakland Athletics,0.262,0.332,0.409,0.741,0.293,2.6%,16.4%,8.6%,18.8%,46.2%,25.0%,0.89,9.4,4.9%,73.6
Seattle Mariners,0.265,0.338,0.441,0.779,0.289,3.3%,16.2%,9.0%,18.8%,38.8%,31.0%,0.65,-2.6,-0.2%,-21.0
Tampa Bay Devil Rays,0.265,0.342,0.438,0.78,0.285,3.1%,14.7%,9.3%,19.0%,40.2%,30.3%,0.69,-4.1,-0.5%,-66.3
Texas Rangers,0.274,0.344,0.432,0.776,0.301,2.9%,15.4%,8.6%,19.7%,43.8%,26.0%,0.81,5.1,4.0%,35.9
Toronto Blue Jays,0.273,0.348,0.434,0.782,0.298,2.9%,15.2%,9.7%,17.9%,43.8%,28.1%,0.8,-2.0,-0.6%,-16.4
League Average,0.269,0.337,0.431,0.768,0.298,2.9%,16.4%,8.5%,18.3%,43.1%,28.5%,0.78,,,
,0.269,0.337,0.431,0.768,0.298,2.9%,16.4%,8.5%,18.3%,43.1%,28.5%,0.78,,,
