Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.256,0.318,0.398,0.716,0.303,2.4%,20.1%,7.4%,18.5%,44.2%,27.2%,0.83,3.3,-0.5%,49.7
Atlanta Braves,0.263,0.336,0.423,0.758,0.299,2.5%,17.2%,9.4%,16.7%,46.7%,27.8%,0.92,-5.6,-0.2%,-55.0
Chicago Cubs,0.242,0.316,0.395,0.711,0.284,2.6%,20.4%,8.9%,17.1%,41.0%,30.2%,0.72,8.4,5.8%,89.9
Cincinnati Reds,0.275,0.345,0.45,0.796,0.318,3.2%,19.3%,8.8%,20.5%,41.9%,27.5%,0.75,-5.3,-2.0%,-59.5
Colorado Rockies,0.276,0.344,0.431,0.775,0.313,2.3%,16.4%,8.9%,19.6%,45.9%,25.2%,0.89,-3.5,-2.0%,-55.0
Florida Marlins,0.258,0.333,0.407,0.74,0.296,2.6%,18.0%,9.3%,19.8%,40.7%,27.6%,0.72,-4.1,-3.7%,-35.1
Houston Astros,0.264,0.328,0.44,0.768,0.296,3.2%,17.9%,8.0%,16.5%,42.9%,31.3%,0.78,0.4,-3.5%,-30.0
Los Angeles Dodgers,0.251,0.315,0.376,0.691,0.299,2.0%,19.7%,7.8%,17.4%,48.7%,25.9%,1.0,6.3,7.3%,82.7
Milwaukee Brewers,0.256,0.323,0.406,0.729,0.289,2.8%,17.9%,8.5%,18.6%,44.0%,27.5%,0.83,3.7,5.8%,46.5
New York Mets,0.254,0.331,0.397,0.729,0.294,2.6%,18.6%,9.3%,19.1%,42.4%,28.0%,0.77,0.9,-1.5%,22.6
Philadelphia Phillies,0.26,0.329,0.41,0.739,0.295,2.6%,17.4%,8.6%,19.8%,44.1%,25.4%,0.83,7.1,7.8%,62.5
Pittsburgh Pirates,0.286,0.362,0.454,0.816,0.316,2.7%,14.8%,10.1%,19.2%,43.0%,28.7%,0.8,-13.5,-3.3%,-156.2
San Diego Padres,0.263,0.332,0.409,0.741,0.299,2.6%,17.5%,8.9%,20.1%,41.5%,27.5%,0.75,-5.7,-0.2%,-67.1
San Francisco Giants,0.258,0.341,0.404,0.745,0.305,2.3%,19.6%,10.3%,20.4%,38.0%,31.3%,0.64,-0.8,-0.6%,-19.1
St. Louis Cardinals,0.27,0.332,0.431,0.764,0.298,2.6%,15.3%,7.9%,20.6%,44.7%,25.8%,0.84,-1.0,-2.0%,8.3
Washington Nationals,0.27,0.343,0.436,0.778,0.301,3.0%,16.9%,9.3%,19.5%,41.7%,28.9%,0.75,-10.7,-1.1%,-103.4
League Average,0.263,0.333,0.417,0.75,0.3,2.6%,17.9%,8.8%,19.0%,43.2%,27.9%,0.8,,,
,0.263,0.333,0.417,0.75,0.3,2.6%,17.9%,8.8%,19.0%,43.2%,27.9%,0.8,,,
