Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.239,0.31,0.388,0.698,0.292,2.8%,23.6%,8.5%,89.6,41.1%,24.2%,47.2%,21.6%,0.92,3.5,1.6%,80.6
Atlanta Braves,0.229,0.314,0.37,0.684,0.281,2.5%,23.1%,10.3%,88.5,37.5%,25.8%,43.0%,22.7%,0.78,6.5,5.7%,50.7
Chicago Cubs,0.24,0.323,0.376,0.698,0.287,2.5%,21.3%,9.9%,88.2,37.9%,25.7%,44.4%,21.6%,0.83,13.2,12.0%,78.9
Cincinnati Reds,0.266,0.332,0.45,0.782,0.303,3.6%,20.0%,8.5%,89.0,40.1%,25.1%,44.1%,22.2%,0.82,-7.5,-1.2%,-114.0
Colorado Rockies,0.25,0.319,0.417,0.736,0.302,3.0%,22.9%,8.5%,88.7,38.4%,25.7%,45.1%,21.2%,0.84,3.6,4.5%,14.4
Los Angeles Dodgers,0.23,0.29,0.379,0.669,0.286,2.9%,25.7%,6.9%,87.9,36.3%,24.0%,44.8%,21.8%,0.84,8.1,11.9%,97.5
Miami Marlins,0.254,0.333,0.424,0.757,0.293,3.1%,20.0%,9.7%,89.1,40.3%,25.1%,40.6%,24.7%,0.7,-7.0,-1.2%,-133.3
Milwaukee Brewers,0.233,0.309,0.387,0.696,0.282,2.8%,23.4%,9.0%,88.1,38.0%,25.6%,42.6%,21.2%,0.77,7.2,9.3%,55.5
New York Mets,0.246,0.313,0.398,0.711,0.298,3.0%,23.4%,7.8%,87.6,35.4%,24.1%,41.7%,24.2%,0.74,3.3,-1.1%,-30.4
Philadelphia Phillies,0.249,0.316,0.407,0.723,0.306,2.8%,23.9%,8.2%,88.0,37.0%,24.2%,44.9%,21.5%,0.85,4.6,3.8%,-23.4
Pittsburgh Pirates,0.251,0.319,0.407,0.726,0.299,2.8%,21.7%,8.1%,88.9,39.1%,25.2%,43.4%,23.0%,0.79,2.5,-1.3%,-9.7
San Diego Padres,0.256,0.324,0.417,0.742,0.308,3.0%,22.4%,8.3%,88.8,39.7%,25.6%,44.0%,22.1%,0.81,-5.3,-1.0%,-83.8
San Francisco Giants,0.251,0.318,0.404,0.722,0.297,2.5%,20.5%,8.5%,88.8,38.8%,25.6%,44.0%,21.2%,0.81,0.8,0.4%,-15.8
St. Louis Cardinals,0.246,0.324,0.378,0.702,0.297,2.3%,21.3%,9.5%,87.6,36.1%,25.8%,44.3%,21.0%,0.83,0.4,-0.1%,2.3
Washington Nationals,0.242,0.311,0.411,0.721,0.289,3.3%,23.3%,8.0%,88.1,37.5%,23.7%,41.3%,24.8%,0.72,2.9,2.1%,34.7
League Average,0.245,0.317,0.401,0.718,0.295,2.9%,22.4%,8.7%,88.5,38.2%,25.0%,43.7%,22.3%,0.8,,,
,0.245,0.317,0.401,0.718,0.295,2.9%,22.4%,8.7%,88.5,38.2%,25.0%,43.7%,22.3%,0.8,,,
