Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.257,0.32,0.411,0.731,0.296,2.8%,19.2%,7.7%,24.0%,45.3%,21.4%,0.87,-0.5,-1.5%,-28.8
Atlanta Braves,0.244,0.301,0.37,0.671,0.292,2.1%,20.6%,6.8%,23.1%,45.2%,23.0%,0.86,9.4,3.6%,101.5
Chicago Cubs,0.244,0.318,0.4,0.718,0.283,2.6%,19.3%,8.8%,23.0%,42.1%,25.1%,0.76,-7.6,-1.9%,-40.8
Cincinnati Reds,0.236,0.298,0.384,0.683,0.278,2.8%,21.3%,7.2%,26.5%,43.7%,20.4%,0.81,8.3,5.6%,69.4
Colorado Rockies,0.277,0.34,0.423,0.763,0.318,2.2%,17.0%,8.3%,25.1%,46.6%,20.4%,0.91,-5.5,-2.0%,-69.7
Los Angeles Dodgers,0.243,0.306,0.365,0.67,0.295,2.1%,21.4%,7.6%,23.6%,46.9%,20.6%,0.92,8.0,5.5%,50.3
Miami Marlins,0.251,0.319,0.384,0.703,0.297,2.0%,19.1%,8.5%,22.8%,44.8%,23.9%,0.85,2.6,-0.7%,6.5
Milwaukee Brewers,0.255,0.317,0.397,0.713,0.29,2.9%,18.4%,7.6%,23.5%,44.3%,23.4%,0.83,-8.0,-3.6%,-37.1
New York Mets,0.256,0.316,0.393,0.709,0.299,2.4%,19.4%,7.3%,21.6%,44.1%,25.0%,0.83,-3.5,-2.8%,-47.7
Philadelphia Phillies,0.265,0.331,0.415,0.746,0.31,2.5%,19.3%,8.1%,23.0%,44.1%,22.7%,0.83,-5.1,-1.8%,-114.4
Pittsburgh Pirates,0.238,0.309,0.341,0.65,0.289,1.6%,20.5%,8.4%,21.9%,52.0%,19.1%,1.14,13.2,8.4%,59.1
San Diego Padres,0.255,0.322,0.403,0.725,0.296,2.5%,19.0%,8.5%,23.4%,45.0%,23.1%,0.86,-4.7,-3.4%,-81.7
San Francisco Giants,0.251,0.32,0.39,0.71,0.299,2.4%,20.4%,8.5%,25.8%,41.5%,23.0%,0.74,-8.1,-5.1%,-73.9
St. Louis Cardinals,0.249,0.311,0.368,0.68,0.301,1.8%,20.5%,7.4%,23.2%,47.7%,20.8%,0.96,7.4,6.5%,56.6
Washington Nationals,0.249,0.305,0.379,0.683,0.296,2.4%,20.5%,6.7%,23.9%,43.9%,21.8%,0.82,4.4,0.8%,24.8
League Average,0.251,0.316,0.388,0.704,0.296,2.3%,19.7%,7.8%,23.6%,45.1%,22.2%,0.86,,,
,0.251,0.316,0.388,0.704,0.296,2.3%,19.7%,7.8%,23.6%,45.1%,22.2%,0.86,,,
