Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.276,0.349,0.471,0.82,0.312,3.7%,19.0%,9.3%,88.9,39.8%,26.0%,42.1%,23.3%,0.74,-14.8,-1.0%,-172.4
Boston Red Sox,0.237,0.309,0.39,0.698,0.295,2.9%,25.3%,8.3%,88.8,37.8%,24.7%,42.6%,24.0%,0.76,12.0,7.4%,106.0
Chicago White Sox,0.254,0.34,0.422,0.761,0.293,3.1%,19.9%,10.3%,88.9,39.1%,24.8%,40.8%,24.8%,0.7,-9.8,-2.1%,-123.2
Cleveland Indians,0.242,0.3,0.414,0.714,0.299,3.3%,25.4%,6.7%,88.6,37.7%,24.7%,42.8%,24.4%,0.76,10.9,4.8%,104.3
Detroit Tigers,0.258,0.323,0.439,0.762,0.292,3.5%,19.8%,8.0%,88.9,39.8%,25.0%,39.9%,25.5%,0.68,-6.1,-0.6%,-59.1
Houston Astros,0.217,0.282,0.358,0.64,0.284,2.6%,28.5%,7.4%,88.0,36.1%,24.9%,44.3%,22.8%,0.81,18.8,11.8%,203.9
Kansas City Royals,0.275,0.342,0.446,0.788,0.311,3.3%,18.4%,8.7%,89.5,41.1%,25.8%,42.9%,23.1%,0.77,-8.8,-1.6%,-107.7
Los Angeles Angels,0.248,0.322,0.415,0.738,0.295,3.4%,22.7%,8.9%,89.4,41.2%,26.1%,42.5%,22.7%,0.75,-0.6,0.3%,0.8
Minnesota Twins,0.256,0.332,0.423,0.755,0.304,3.2%,21.9%,9.1%,88.8,40.9%,25.7%,41.5%,23.7%,0.73,-2.3,-0.6%,-36.2
New York Yankees,0.237,0.304,0.39,0.694,0.302,2.9%,26.6%,8.0%,88.3,37.9%,24.6%,43.4%,23.4%,0.78,8.6,4.5%,70.2
Oakland Athletics,0.236,0.301,0.392,0.693,0.271,3.0%,20.3%,7.8%,88.4,38.7%,24.6%,43.0%,23.3%,0.78,12.2,8.1%,61.3
Seattle Mariners,0.252,0.308,0.418,0.726,0.296,3.2%,21.9%,6.6%,89.1,40.1%,24.9%,42.6%,24.6%,0.75,6.7,4.2%,5.5
Tampa Bay Rays,0.23,0.3,0.377,0.677,0.279,2.7%,23.7%,8.4%,88.7,38.6%,23.8%,43.8%,24.1%,0.79,12.3,1.9%,75.3
Texas Rangers,0.271,0.335,0.464,0.798,0.301,3.6%,18.0%,7.9%,89.3,41.5%,25.5%,43.5%,23.2%,0.78,-6.8,-1.0%,-89.4
Toronto Blue Jays,0.265,0.335,0.446,0.782,0.308,3.3%,20.7%,8.8%,88.7,39.4%,23.7%,42.7%,24.5%,0.76,-7.2,-1.2%,-110.2
League Average,0.25,0.319,0.418,0.737,0.296,3.2%,22.1%,8.3%,88.8,39.4%,25.0%,42.5%,23.8%,0.75,,,
,0.25,0.319,0.418,0.737,0.296,3.2%,22.1%,8.3%,88.8,39.4%,25.0%,42.5%,23.8%,0.75,,,
