Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.252,0.315,0.403,0.718,0.287,2.9%,18.8%,7.7%,17.6%,44.4%,28.6%,0.83,11.9,13.2%,34.4
Boston Red Sox,0.262,0.331,0.428,0.759,0.298,3.1%,18.9%,8.5%,18.5%,46.1%,27.0%,0.88,-10.1,-2.6%,-81.4
Chicago White Sox,0.25,0.319,0.405,0.724,0.29,3.1%,20.4%,8.3%,19.4%,42.4%,28.8%,0.76,3.5,0.9%,50.8
Cleveland Indians,0.268,0.336,0.43,0.766,0.302,2.8%,17.3%,8.6%,19.0%,45.6%,27.2%,0.86,-10.4,-3.6%,-153.4
Detroit Tigers,0.256,0.314,0.402,0.716,0.31,2.5%,21.8%,7.3%,18.6%,43.4%,27.8%,0.79,4.8,6.2%,53.8
Kansas City Royals,0.27,0.339,0.423,0.762,0.314,2.6%,18.8%,8.7%,18.0%,42.6%,29.3%,0.77,-0.7,-0.9%,-24.4
Los Angeles Angels of Anaheim,0.246,0.31,0.403,0.713,0.279,3.1%,19.2%,8.0%,17.1%,43.8%,30.0%,0.8,-0.9,-3.0%,-13.0
Minnesota Twins,0.274,0.333,0.442,0.775,0.296,3.2%,15.2%,7.5%,17.4%,45.7%,28.8%,0.86,-10.8,-2.5%,-128.8
New York Yankees,0.253,0.311,0.419,0.73,0.298,3.1%,21.7%,7.1%,18.6%,44.7%,27.2%,0.83,5.4,5.9%,58.6
Oakland Athletics,0.245,0.306,0.378,0.684,0.282,2.4%,18.5%,7.5%,19.4%,41.3%,28.1%,0.73,11.9,8.8%,92.5
Seattle Mariners,0.248,0.308,0.394,0.702,0.284,2.7%,19.2%,7.4%,19.1%,42.5%,28.5%,0.77,4.8,-0.5%,34.9
Tampa Bay Rays,0.228,0.294,0.352,0.646,0.279,2.3%,23.1%,7.8%,16.8%,47.7%,26.6%,0.94,14.0,8.9%,129.6
Texas Rangers,0.25,0.309,0.408,0.716,0.294,2.9%,21.2%,7.4%,19.1%,43.7%,27.9%,0.79,8.9,0.5%,29.9
Toronto Blue Jays,0.261,0.335,0.438,0.772,0.294,3.3%,18.4%,9.2%,18.9%,45.8%,25.8%,0.88,-3.6,-2.3%,-61.7
League Average,0.255,0.319,0.409,0.728,0.293,2.9%,19.4%,7.9%,18.4%,44.3%,28.0%,0.82,,,
,0.255,0.319,0.409,0.728,0.293,2.9%,19.4%,7.9%,18.4%,44.3%,28.0%,0.82,,,
