Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Anaheim Angels,0.273,0.351,0.453,0.804,0.285,3.6%,13.2%,10.3%,24.1%,39.9%,29.7%,0.68,0.4,-2.3%,-6.1
Baltimore Orioles,0.275,0.352,0.449,0.801,0.301,3.1%,15.8%,10.3%,25.8%,39.6%,28.7%,0.67,-2.5,-3.9%,-84.9
Boston Red Sox,0.257,0.322,0.411,0.733,0.291,2.8%,18.0%,8.0%,25.0%,40.4%,27.1%,0.7,15.1,11.5%,126.9
Chicago White Sox,0.27,0.346,0.434,0.78,0.299,3.1%,16.4%,9.7%,25.5%,39.7%,28.2%,0.67,8.7,5.8%,30.8
Cleveland Indians,0.27,0.35,0.425,0.774,0.315,2.7%,19.0%,10.4%,25.7%,41.6%,26.7%,0.73,3.4,6.6%,43.5
Detroit Tigers,0.28,0.34,0.443,0.782,0.308,2.8%,15.5%,7.9%,25.7%,41.8%,27.8%,0.73,2.3,0.0%,5.7
Kansas City Royals,0.282,0.362,0.474,0.836,0.299,3.7%,14.4%,10.8%,25.6%,40.1%,28.7%,0.69,-7.5,-4.0%,-61.8
Minnesota Twins,0.287,0.347,0.466,0.813,0.317,3.4%,16.5%,8.1%,26.8%,36.6%,29.7%,0.59,-1.5,-1.0%,-11.1
New York Yankees,0.263,0.336,0.422,0.758,0.293,2.8%,16.6%,9.2%,26.3%,38.0%,28.3%,0.63,3.4,3.1%,27.2
Oakland Athletics,0.274,0.348,0.423,0.77,0.304,2.5%,15.2%,9.7%,25.0%,43.0%,26.1%,0.77,2.3,4.6%,21.7
Seattle Mariners,0.262,0.339,0.416,0.755,0.29,2.7%,15.9%,10.1%,25.2%,38.2%,29.3%,0.64,9.0,11.5%,48.2
Tampa Bay Devil Rays,0.278,0.345,0.451,0.796,0.302,3.2%,15.2%,8.5%,25.9%,41.6%,26.9%,0.73,-1.3,-2.5%,-2.8
Texas Rangers,0.294,0.369,0.475,0.845,0.317,3.1%,14.0%,10.1%,28.5%,36.3%,28.7%,0.58,-9.3,-2.9%,-121.1
Toronto Blue Jays,0.285,0.354,0.456,0.809,0.313,3.1%,15.3%,8.8%,27.0%,39.3%,27.8%,0.67,2.6,1.8%,-46.3
League Average,0.275,0.347,0.443,0.79,0.302,3.0%,15.8%,9.4%,25.9%,39.7%,28.1%,0.68,,,
,0.275,0.347,0.443,0.79,0.302,3.0%,15.8%,9.4%,25.9%,39.7%,28.1%,0.68,,,
