Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.24,0.309,0.398,0.707,0.297,2.8%,24.4%,8.5%,88.2,39.6%,23.4%,47.9%,20.9%,0.95,11.8,6.7%,113.1
Atlanta Braves,0.263,0.339,0.438,0.777,0.306,3.0%,20.0%,9.3%,87.5,36.9%,25.4%,43.8%,22.6%,0.81,-7.1,-2.6%,-84.7
Chicago Cubs,0.238,0.315,0.398,0.713,0.288,3.2%,23.6%,9.1%,86.9,36.3%,26.4%,45.8%,20.3%,0.87,9.2,7.8%,62.7
Cincinnati Reds,0.263,0.345,0.465,0.81,0.3,4.0%,20.7%,10.0%,87.3,36.1%,24.2%,44.2%,23.3%,0.83,-7.0,-2.2%,-126.1
Colorado Rockies,0.264,0.332,0.439,0.771,0.309,3.1%,20.6%,8.6%,87.1,37.4%,24.8%,47.9%,19.9%,0.95,8.5,7.0%,47.0
Los Angeles Dodgers,0.228,0.29,0.38,0.671,0.284,3.1%,26.1%,7.5%,86.3,32.5%,25.4%,42.5%,22.0%,0.77,16.2,8.0%,156.9
Miami Marlins,0.263,0.344,0.432,0.776,0.302,3.1%,19.0%,9.9%,87.6,37.2%,25.6%,42.0%,23.2%,0.75,-8.4,-2.3%,-115.3
Milwaukee Brewers,0.252,0.326,0.414,0.741,0.301,3.0%,21.8%,9.0%,86.2,34.2%,25.2%,45.3%,20.1%,0.86,5.6,4.8%,54.8
New York Mets,0.273,0.345,0.448,0.794,0.322,3.5%,21.5%,9.3%,87.0,35.7%,24.8%,43.8%,23.0%,0.81,-8.9,-2.3%,-150.0
Philadelphia Phillies,0.265,0.333,0.447,0.78,0.307,3.5%,21.0%,8.5%,87.3,36.7%,25.4%,42.4%,22.6%,0.76,-6.4,-2.2%,-48.6
Pittsburgh Pirates,0.264,0.33,0.431,0.761,0.31,2.9%,20.3%,8.2%,87.3,37.4%,25.9%,44.5%,20.8%,0.84,-0.9,-1.3%,3.7
San Diego Padres,0.259,0.333,0.441,0.775,0.301,3.7%,21.5%,9.0%,87.7,37.7%,23.2%,47.0%,22.2%,0.92,-3.1,-1.1%,-88.5
San Francisco Giants,0.268,0.331,0.438,0.768,0.312,2.9%,19.6%,7.9%,87.9,37.7%,26.9%,42.2%,21.7%,0.76,-2.7,-0.2%,-30.8
St. Louis Cardinals,0.253,0.32,0.411,0.731,0.301,3.0%,22.0%,8.0%,86.9,34.9%,25.3%,46.1%,20.9%,0.89,4.4,0.7%,37.6
Washington Nationals,0.239,0.308,0.396,0.703,0.29,3.1%,24.0%,8.2%,87.0,35.0%,23.7%,43.5%,22.9%,0.8,12.6,3.4%,81.3
League Average,0.256,0.327,0.425,0.752,0.302,3.2%,21.7%,8.7%,87.2,36.4%,25.1%,44.6%,21.8%,0.83,,,
,0.256,0.327,0.425,0.752,0.302,3.2%,21.7%,8.7%,87.2,36.4%,25.1%,44.6%,21.8%,0.83,,,
