Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.267,0.335,0.431,0.767,0.304,2.7%,17.6%,8.5%,18.8%,45.9%,25.9%,0.89,3.1,0.8%,16.3
Atlanta Braves,0.273,0.343,0.438,0.781,0.304,2.9%,16.5%,9.0%,19.6%,44.0%,27.3%,0.82,-5.8,-3.5%,-31.7
Chicago Cubs,0.255,0.342,0.431,0.774,0.291,3.3%,19.6%,10.8%,18.3%,41.2%,29.4%,0.74,-6.7,-0.3%,-47.0
Cincinnati Reds,0.278,0.337,0.457,0.794,0.307,3.4%,16.7%,7.3%,20.5%,41.0%,27.8%,0.73,-1.2,-2.8%,-8.9
Colorado Rockies,0.277,0.346,0.438,0.785,0.307,2.5%,15.1%,8.8%,19.0%,45.0%,27.5%,0.85,1.3,4.0%,3.8
Florida Marlins,0.267,0.347,0.423,0.771,0.304,2.6%,17.3%,9.9%,18.7%,41.9%,28.3%,0.75,-4.3,-3.1%,-18.6
Houston Astros,0.256,0.319,0.421,0.74,0.291,2.9%,18.7%,7.7%,17.9%,44.4%,28.1%,0.84,8.2,4.7%,73.4
Los Angeles Dodgers,0.269,0.33,0.418,0.748,0.307,2.4%,17.0%,7.8%,17.4%,47.3%,26.3%,0.94,6.8,8.1%,41.9
Milwaukee Brewers,0.265,0.333,0.438,0.771,0.302,2.9%,18.4%,8.3%,18.7%,41.1%,28.1%,0.74,-4.6,-3.2%,-60.9
New York Mets,0.253,0.323,0.407,0.73,0.288,2.9%,18.6%,8.5%,17.9%,42.8%,29.0%,0.78,8.5,5.3%,49.2
Philadelphia Phillies,0.275,0.339,0.46,0.798,0.308,3.3%,17.9%,8.0%,19.4%,42.7%,27.6%,0.78,-0.2,1.9%,-10.6
Pittsburgh Pirates,0.281,0.357,0.431,0.789,0.32,2.5%,16.7%,9.8%,18.5%,44.1%,26.3%,0.85,-1.3,-1.2%,-28.8
San Diego Padres,0.249,0.312,0.404,0.716,0.28,2.9%,17.8%,7.6%,18.6%,40.9%,29.1%,0.72,9.1,10.5%,80.1
San Francisco Giants,0.261,0.337,0.415,0.752,0.291,2.5%,15.9%,9.4%,18.6%,41.2%,29.5%,0.73,-1.7,-1.7%,-17.5
St. Louis Cardinals,0.268,0.337,0.443,0.779,0.294,3.1%,15.7%,8.1%,18.9%,45.7%,25.9%,0.88,0.9,3.7%,6.7
Washington Nationals,0.274,0.349,0.447,0.796,0.298,3.0%,14.9%,9.1%,19.7%,38.3%,29.5%,0.65,-12.7,-2.4%,-121.3
League Average,0.267,0.337,0.432,0.768,0.3,2.9%,17.1%,8.7%,18.8%,43.0%,27.8%,0.79,,,
,0.267,0.337,0.432,0.768,0.3,2.9%,17.1%,8.7%,18.8%,43.0%,27.8%,0.79,,,
