Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.262,0.334,0.42,0.753,0.298,2.7%,17.5%,8.8%,19.2%,43.4%,28.3%,0.8,12.3,13.1%,52.2
Atlanta Braves,0.259,0.327,0.415,0.742,0.293,2.8%,17.7%,8.6%,16.0%,44.3%,30.1%,0.83,1.8,-0.8%,22.9
Chicago Cubs,0.246,0.322,0.399,0.721,0.286,2.7%,19.6%,9.3%,18.8%,40.8%,28.7%,0.72,7.6,6.9%,87.6
Cincinnati Reds,0.282,0.343,0.456,0.8,0.315,3.1%,16.8%,7.6%,20.8%,39.6%,28.5%,0.68,-7.1,-1.2%,-78.8
Colorado Rockies,0.266,0.33,0.423,0.753,0.294,2.6%,15.4%,8.0%,19.9%,45.8%,25.1%,0.88,0.9,3.0%,42.1
Florida Marlins,0.285,0.364,0.442,0.806,0.327,2.7%,17.5%,10.1%,20.1%,41.2%,28.1%,0.74,-12.9,-3.1%,-150.4
Houston Astros,0.273,0.337,0.454,0.791,0.305,3.2%,17.3%,8.0%,17.9%,43.5%,28.6%,0.81,0.1,-0.3%,-40.0
Los Angeles Dodgers,0.261,0.326,0.399,0.725,0.306,2.4%,19.1%,8.4%,18.5%,44.7%,26.1%,0.86,6.0,5.4%,40.9
Milwaukee Brewers,0.269,0.333,0.422,0.754,0.312,2.6%,18.7%,8.1%,19.6%,41.2%,28.7%,0.73,0.3,-3.0%,-16.7
New York Mets,0.255,0.329,0.409,0.737,0.291,2.6%,18.0%,9.1%,19.2%,40.8%,28.8%,0.72,1.8,-2.2%,5.7
Philadelphia Phillies,0.276,0.346,0.451,0.797,0.306,3.1%,16.4%,8.7%,19.6%,43.0%,27.9%,0.79,-2.3,2.2%,-45.2
Pittsburgh Pirates,0.288,0.352,0.447,0.799,0.32,2.7%,15.6%,8.1%,19.3%,43.3%,27.2%,0.8,-5.2,0.6%,-95.6
San Diego Padres,0.25,0.311,0.374,0.686,0.291,1.9%,18.2%,7.6%,18.5%,45.0%,26.7%,0.86,10.5,1.5%,79.7
San Francisco Giants,0.261,0.334,0.405,0.74,0.298,2.1%,16.8%,9.4%,18.6%,42.2%,28.6%,0.77,1.1,0.9%,47.8
St. Louis Cardinals,0.271,0.336,0.431,0.768,0.297,2.7%,15.0%,8.1%,19.1%,43.2%,27.2%,0.79,-0.7,-1.8%,-77.3
Washington Nationals,0.269,0.339,0.433,0.772,0.29,3.0%,14.7%,9.2%,19.9%,39.3%,29.2%,0.67,-0.7,-0.4%,-46.8
League Average,0.267,0.335,0.424,0.759,0.302,2.7%,17.1%,8.6%,19.1%,42.6%,28.0%,0.78,,,
,0.267,0.335,0.424,0.759,0.302,2.7%,17.1%,8.6%,19.1%,42.6%,28.0%,0.78,,,
