Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.268,0.354,0.412,0.766,0.305,2.5%,16.9%,10.8%,18.7%,44.7%,28.5%,0.83,-6.6,-0.2%,-75.6
Boston Red Sox,0.247,0.314,0.392,0.705,0.286,2.5%,18.9%,7.9%,18.8%,42.6%,28.6%,0.76,14.7,8.0%,154.9
Chicago White Sox,0.276,0.338,0.435,0.773,0.307,2.8%,16.1%,7.9%,19.4%,42.8%,27.6%,0.78,0.2,0.1%,-36.2
Cleveland Indians,0.268,0.322,0.407,0.729,0.304,2.4%,16.9%,6.6%,17.9%,45.4%,27.0%,0.86,13.1,11.6%,97.1
Detroit Tigers,0.266,0.338,0.427,0.765,0.297,2.7%,16.5%,8.9%,18.1%,44.7%,28.2%,0.83,2.4,0.9%,-0.7
Kansas City Royals,0.277,0.339,0.445,0.785,0.307,2.7%,15.9%,8.3%,19.9%,40.9%,30.3%,0.71,-0.2,-1.1%,8.5
Los Angeles Angels of Anaheim,0.266,0.328,0.412,0.739,0.309,2.5%,18.8%,7.7%,18.7%,42.1%,30.1%,0.75,8.7,6.2%,59.0
Minnesota Twins,0.269,0.324,0.431,0.755,0.304,3.0%,17.8%,6.9%,17.3%,42.9%,30.3%,0.77,6.4,3.3%,42.7
New York Yankees,0.268,0.34,0.417,0.757,0.301,2.4%,16.0%,9.2%,20.0%,42.5%,28.4%,0.76,1.7,2.7%,22.3
Oakland Athletics,0.263,0.329,0.404,0.733,0.298,2.2%,16.6%,8.5%,19.5%,44.4%,26.7%,0.83,0.9,3.2%,8.6
Seattle Mariners,0.281,0.349,0.431,0.78,0.319,2.3%,16.2%,8.7%,19.5%,43.3%,26.8%,0.79,1.7,-1.2%,-44.0
Tampa Bay Devil Rays,0.29,0.358,0.467,0.826,0.334,3.1%,18.7%,8.9%,20.1%,40.9%,29.1%,0.72,-13.5,-3.4%,-165.9
Texas Rangers,0.274,0.356,0.423,0.78,0.306,2.4%,15.3%,10.5%,20.4%,46.0%,25.5%,0.88,-6.4,-2.5%,-60.5
Toronto Blue Jays,0.251,0.315,0.391,0.706,0.283,2.6%,17.5%,7.8%,19.1%,48.7%,23.7%,0.98,6.1,0.1%,91.8
League Average,0.269,0.336,0.421,0.757,0.304,2.6%,17.0%,8.5%,19.1%,43.7%,27.9%,0.8,,,
,0.269,0.336,0.421,0.757,0.304,2.6%,17.0%,8.5%,19.1%,43.7%,27.9%,0.8,,,
