Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.258,0.328,0.421,0.75,0.301,3.0%,20.4%,8.9%,89.1,40.0%,25.3%,45.2%,20.8%,0.84,6.5,6.7%,17.3
Boston Red Sox,0.246,0.314,0.397,0.711,0.295,2.9%,22.4%,8.1%,88.5,37.8%,23.0%,41.4%,25.8%,0.73,3.4,2.9%,54.7
Chicago White Sox,0.257,0.326,0.419,0.746,0.3,3.0%,20.5%,8.4%,88.9,38.1%,26.2%,42.8%,22.3%,0.77,-1.2,-0.2%,3.7
Cleveland Indians,0.243,0.304,0.407,0.711,0.291,3.1%,23.2%,7.6%,88.9,38.7%,26.9%,46.8%,19.6%,0.9,11.3,8.3%,86.3
Detroit Tigers,0.26,0.32,0.421,0.741,0.302,3.0%,20.4%,7.6%,88.7,39.1%,23.1%,44.0%,22.2%,0.81,3.0,0.3%,1.4
Houston Astros,0.256,0.314,0.424,0.737,0.308,2.9%,22.6%,7.3%,88.4,38.1%,25.1%,45.4%,22.2%,0.85,5.8,2.0%,20.5
Kansas City Royals,0.259,0.327,0.423,0.75,0.301,3.3%,20.8%,8.4%,89.4,40.7%,23.2%,43.9%,24.3%,0.81,4.8,2.0%,25.6
Los Angeles Angels,0.269,0.334,0.44,0.774,0.303,3.4%,18.6%,8.1%,89.2,39.8%,25.7%,41.1%,23.6%,0.71,-7.0,-2.0%,-29.0
Minnesota Twins,0.283,0.34,0.466,0.806,0.32,3.5%,18.9%,7.6%,89.9,42.5%,26.1%,42.8%,23.1%,0.77,-13.3,-1.6%,-156.3
New York Yankees,0.248,0.31,0.424,0.734,0.294,3.6%,23.1%,7.4%,88.8,39.8%,23.7%,46.7%,21.4%,0.9,6.3,2.3%,35.5
Oakland Athletics,0.263,0.322,0.422,0.744,0.301,3.0%,19.3%,7.6%,89.3,40.7%,25.7%,46.2%,19.7%,0.88,-6.3,-1.1%,-53.0
Seattle Mariners,0.253,0.314,0.425,0.739,0.294,3.5%,21.4%,7.5%,89.0,38.7%,25.7%,43.3%,22.0%,0.78,2.9,-0.8%,11.7
Tampa Bay Rays,0.255,0.318,0.416,0.734,0.3,3.5%,22.3%,8.1%,89.7,40.4%,23.7%,41.2%,25.4%,0.71,-4.0,-0.8%,-2.4
Texas Rangers,0.26,0.329,0.424,0.753,0.293,3.3%,18.7%,8.6%,88.7,39.0%,25.4%,45.3%,21.7%,0.85,4.6,5.1%,-6.9
Toronto Blue Jays,0.242,0.305,0.398,0.703,0.283,3.0%,21.5%,7.5%,89.5,41.4%,23.6%,46.5%,20.9%,0.89,9.5,7.7%,79.2
League Average,0.257,0.32,0.422,0.742,0.299,3.2%,20.9%,7.9%,89.1,39.7%,24.8%,44.2%,22.3%,0.81,,,
,0.257,0.32,0.422,0.742,0.299,3.2%,20.9%,7.9%,89.1,39.7%,24.8%,44.2%,22.3%,0.81,,,
