Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.269,0.342,0.458,0.799,0.303,3.9%,19.6%,9.2%,88.3,40.0%,25.4%,44.2%,21.8%,0.81,-3.9,-1.8%,-91.7
Boston Red Sox,0.245,0.306,0.406,0.712,0.304,3.1%,25.4%,7.5%,87.7,37.2%,25.1%,41.4%,24.8%,0.72,14.4,10.9%,132.2
Chicago White Sox,0.254,0.337,0.45,0.787,0.282,3.9%,19.2%,10.2%,88.2,38.6%,25.3%,42.1%,24.6%,0.74,-7.3,-1.6%,-80.4
Cleveland Indians,0.236,0.294,0.38,0.673,0.305,2.8%,27.5%,6.9%,87.3,36.6%,27.7%,44.1%,20.1%,0.81,22.3,12.0%,218.4
Detroit Tigers,0.282,0.348,0.463,0.811,0.321,3.5%,19.1%,8.5%,88.2,38.3%,26.8%,39.6%,24.2%,0.67,-10.6,-2.8%,-139.6
Houston Astros,0.24,0.313,0.407,0.72,0.302,3.1%,26.1%,8.5%,87.0,37.5%,24.6%,46.8%,20.8%,0.9,6.4,4.3%,36.6
Kansas City Royals,0.265,0.331,0.434,0.765,0.305,3.2%,19.6%,8.4%,87.8,37.7%,24.0%,43.6%,23.9%,0.79,1.5,-1.7%,-34.4
Los Angeles Angels,0.251,0.314,0.429,0.744,0.291,3.7%,21.8%,7.8%,88.6,40.1%,25.4%,41.5%,24.7%,0.72,0.1,-0.8%,34.1
Minnesota Twins,0.266,0.33,0.446,0.776,0.298,3.6%,18.8%,7.8%,88.1,38.0%,25.3%,42.5%,24.0%,0.75,-1.2,-2.6%,-31.3
New York Yankees,0.228,0.298,0.382,0.68,0.282,3.2%,25.7%,8.3%,87.3,37.2%,24.5%,45.9%,21.5%,0.87,7.3,4.8%,114.7
Oakland Athletics,0.261,0.327,0.439,0.765,0.296,3.4%,19.5%,8.1%,88.4,39.2%,25.5%,44.6%,22.1%,0.82,-10.9,-1.8%,-94.2
Seattle Mariners,0.254,0.318,0.435,0.754,0.285,3.9%,20.3%,8.0%,88.4,38.9%,25.0%,40.4%,24.8%,0.69,-4.2,-2.6%,-30.9
Tampa Bay Rays,0.242,0.309,0.403,0.711,0.285,3.2%,22.2%,8.3%,87.9,37.9%,24.7%,42.8%,22.8%,0.77,4.3,0.8%,40.9
Texas Rangers,0.261,0.335,0.434,0.769,0.29,3.5%,17.8%,9.0%,86.9,35.4%,25.3%,44.2%,21.7%,0.8,-1.4,-1.5%,-30.8
Toronto Blue Jays,0.258,0.326,0.429,0.756,0.304,3.2%,21.7%,8.7%,87.4,37.5%,23.9%,45.3%,21.8%,0.84,3.0,-0.7%,-9.6
League Average,0.254,0.322,0.426,0.749,0.297,3.4%,21.6%,8.4%,87.8,38.0%,25.2%,43.2%,22.9%,0.78,,,
,0.254,0.322,0.426,0.749,0.297,3.4%,21.6%,8.4%,87.8,38.0%,25.2%,43.2%,22.9%,0.78,,,
