Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.251,0.32,0.429,0.749,0.297,3.2%,22.2%,8.6%,89.3,41.5%,24.3%,41.5%,26.8%,0.72,-0.3,0.2%,1.1
Atlanta Braves,0.245,0.318,0.398,0.716,0.303,3.1%,24.7%,8.7%,88.6,38.9%,25.0%,42.1%,25.2%,0.74,4.1,3.8%,59.0
Chicago Cubs,0.244,0.314,0.399,0.713,0.292,2.9%,22.6%,8.4%,87.8,38.1%,24.6%,43.9%,23.2%,0.8,3.5,0.7%,51.8
Cincinnati Reds,0.257,0.337,0.443,0.78,0.302,3.5%,21.9%,9.7%,88.6,39.3%,24.7%,38.4%,28.0%,0.63,2.1,0.2%,-42.2
Colorado Rockies,0.288,0.361,0.486,0.847,0.321,3.7%,17.9%,9.3%,89.0,41.3%,25.1%,40.9%,27.0%,0.7,-14.8,-1.9%,-158.8
Los Angeles Dodgers,0.236,0.301,0.4,0.701,0.279,3.3%,23.1%,7.5%,88.1,37.9%,23.1%,42.0%,26.7%,0.74,8.2,2.9%,83.1
Miami Marlins,0.246,0.317,0.413,0.73,0.302,3.1%,24.5%,8.4%,88.3,38.7%,23.1%,44.3%,25.3%,0.81,8.9,5.6%,48.6
Milwaukee Brewers,0.226,0.297,0.385,0.681,0.269,3.3%,23.8%,8.2%,88.1,38.2%,23.3%,43.2%,26.0%,0.77,16.0,8.6%,118.6
New York Mets,0.247,0.33,0.406,0.735,0.298,3.1%,22.9%,9.7%,88.8,40.2%,23.2%,41.7%,26.8%,0.73,1.0,-1.1%,10.4
Philadelphia Phillies,0.24,0.304,0.397,0.701,0.291,3.1%,23.9%,7.7%,87.8,37.7%,23.7%,43.7%,24.9%,0.79,6.1,3.4%,50.3
Pittsburgh Pirates,0.251,0.331,0.413,0.745,0.301,2.9%,21.9%,9.6%,88.4,40.1%,24.6%,42.8%,24.7%,0.76,1.5,0.5%,-33.3
San Diego Padres,0.236,0.314,0.383,0.697,0.288,2.9%,23.8%,9.2%,87.5,37.0%,23.6%,44.4%,24.7%,0.81,6.2,0.8%,99.4
San Francisco Giants,0.253,0.311,0.408,0.719,0.305,2.9%,22.5%,6.7%,88.7,40.0%,22.9%,48.7%,22.4%,0.97,3.7,1.8%,37.3
St. Louis Cardinals,0.276,0.343,0.447,0.79,0.321,2.9%,19.4%,8.5%,89.1,41.0%,24.3%,45.2%,24.5%,0.83,-6.0,-1.8%,-71.9
Washington Nationals,0.273,0.346,0.457,0.803,0.306,3.9%,19.5%,9.4%,88.9,41.3%,24.5%,40.7%,27.4%,0.7,-8.0,-2.0%,-100.4
League Average,0.251,0.323,0.418,0.741,0.299,3.2%,22.3%,8.7%,88.5,39.5%,24.0%,42.9%,25.6%,0.76,,,
,0.251,0.323,0.418,0.741,0.299,3.2%,22.3%,8.7%,88.5,39.5%,24.0%,42.9%,25.6%,0.76,,,
