Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.253,0.336,0.462,0.798,0.295,4.1%,23.0%,10.3%,89.0,39.7%,30.8%,38.8%,22.5%,0.64,-2.7,-1.7%,-14.1
Atlanta Braves,0.247,0.329,0.408,0.737,0.295,3.0%,22.2%,9.7%,87.0,34.3%,27.2%,43.7%,20.2%,0.8,3.1,2.0%,11.3
Chicago Cubs,0.233,0.302,0.4,0.702,0.279,3.4%,24.3%,8.5%,88.1,38.3%,28.8%,45.2%,19.7%,0.83,6.9,3.8%,48.7
Cincinnati Reds,0.215,0.303,0.374,0.677,0.279,3.2%,28.9%,10.0%,87.3,36.7%,25.9%,43.7%,21.5%,0.78,4.3,4.4%,42.9
Colorado Rockies,0.28,0.353,0.477,0.83,0.308,3.6%,16.8%,8.8%,88.9,40.9%,30.5%,44.1%,18.9%,0.8,0.0,-0.3%,-46.5
Los Angeles Dodgers,0.213,0.272,0.355,0.627,0.253,3.0%,23.8%,6.7%,87.2,33.0%,25.6%,45.8%,21.1%,0.86,7.1,3.4%,85.0
Miami Marlins,0.261,0.343,0.455,0.798,0.298,3.7%,20.4%,10.2%,88.4,39.7%,27.1%,45.4%,20.8%,0.84,3.0,2.9%,-28.3
Milwaukee Brewers,0.229,0.307,0.385,0.692,0.297,3.1%,28.1%,8.7%,86.5,34.6%,26.2%,47.1%,17.8%,0.9,4.3,3.4%,24.7
New York Mets,0.255,0.336,0.438,0.774,0.317,3.6%,25.4%,9.7%,87.3,37.8%,29.6%,42.6%,19.9%,0.76,-2.9,-2.4%,-32.2
Philadelphia Phillies,0.279,0.348,0.468,0.816,0.344,3.6%,24.2%,8.4%,87.7,39.1%,30.0%,46.3%,16.5%,0.87,-4.5,-4.5%,-37.9
Pittsburgh Pirates,0.235,0.332,0.416,0.747,0.281,3.6%,24.1%,11.2%,88.0,38.3%,28.2%,43.3%,20.8%,0.78,-3.5,-0.9%,-14.6
San Diego Padres,0.234,0.301,0.389,0.689,0.29,3.2%,26.2%,7.9%,87.8,38.0%,27.5%,42.6%,20.9%,0.76,1.7,0.5%,36.7
San Francisco Giants,0.241,0.322,0.41,0.731,0.283,3.1%,21.8%,9.4%,87.5,35.6%,29.7%,38.9%,22.5%,0.65,-2.0,-1.4%,-15.7
St. Louis Cardinals,0.216,0.306,0.38,0.686,0.252,3.5%,23.3%,10.3%,88.1,38.4%,27.4%,44.7%,20.7%,0.82,3.3,3.8%,26.6
Washington Nationals,0.271,0.346,0.466,0.812,0.317,4.1%,22.4%,9.5%,88.8,39.4%,30.5%,38.4%,22.9%,0.63,-0.3,-0.6%,-22.8
League Average,0.245,0.323,0.419,0.742,0.293,3.5%,23.6%,9.3%,87.9,37.6%,28.4%,43.3%,20.4%,0.78,,,
,0.245,0.323,0.419,0.742,0.293,3.5%,23.6%,9.3%,87.9,37.6%,28.4%,43.3%,20.4%,0.78,,,
