Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.262,0.326,0.424,0.75,0.303,3.1%,19.8%,8.1%,24.8%,37.5%,29.6%,0.63,7.1,5.0%,67.4
Atlanta Braves,0.258,0.319,0.402,0.721,0.292,2.7%,17.7%,7.9%,24.4%,43.2%,26.6%,0.79,12.5,6.9%,93.8
Chicago Cubs,0.268,0.348,0.452,0.8,0.297,3.6%,17.7%,10.2%,25.0%,38.7%,28.6%,0.65,-7.6,-2.1%,-98.7
Cincinnati Reds,0.261,0.341,0.438,0.779,0.286,3.0%,16.0%,10.4%,24.8%,39.1%,28.3%,0.67,7.4,3.2%,59.7
Colorado Rockies,0.281,0.354,0.471,0.826,0.306,3.5%,15.8%,9.3%,26.7%,40.4%,27.0%,0.7,-0.6,-3.3%,1.8
Florida Marlins,0.269,0.348,0.429,0.777,0.302,2.7%,16.7%,10.3%,24.3%,40.3%,27.6%,0.7,1.5,-0.3%,-16.4
Houston Astros,0.281,0.353,0.476,0.829,0.307,3.6%,16.5%,9.3%,25.7%,38.0%,29.6%,0.63,-11.2,-2.6%,-111.2
Los Angeles Dodgers,0.252,0.332,0.407,0.739,0.288,2.8%,18.5%,9.6%,24.3%,41.9%,26.9%,0.75,3.0,-1.4%,57.3
Milwaukee Brewers,0.269,0.357,0.42,0.776,0.295,2.7%,14.9%,11.2%,23.0%,41.2%,28.3%,0.73,1.3,-1.2%,-14.1
Montreal Expos,0.282,0.353,0.449,0.802,0.314,2.9%,16.0%,9.1%,26.4%,39.9%,27.5%,0.69,-6.6,-1.7%,-95.5
New York Mets,0.252,0.327,0.403,0.73,0.29,2.6%,18.6%,9.2%,25.7%,39.7%,26.7%,0.68,12.1,8.3%,57.7
Philadelphia Phillies,0.265,0.343,0.448,0.791,0.297,3.2%,17.8%,10.1%,24.8%,37.1%,29.9%,0.61,-3.4,-0.6%,-27.0
Pittsburgh Pirates,0.277,0.361,0.432,0.793,0.313,2.5%,16.4%,10.9%,24.9%,44.2%,24.7%,0.83,-7.6,-1.2%,-77.8
San Diego Padres,0.258,0.34,0.416,0.756,0.286,3.0%,16.7%,10.1%,24.8%,39.6%,28.3%,0.68,-1.5,-1.7%,-30.1
San Francisco Giants,0.266,0.342,0.412,0.754,0.303,2.4%,17.2%,9.9%,25.7%,38.6%,28.3%,0.66,4.1,4.3%,38.4
St. Louis Cardinals,0.259,0.338,0.434,0.771,0.29,3.2%,17.7%,9.8%,26.2%,37.8%,28.5%,0.63,6.5,3.4%,38.1
League Average,0.266,0.343,0.432,0.775,0.298,3.0%,17.1%,9.7%,25.1%,39.8%,27.9%,0.69,,,
,0.266,0.343,0.432,0.775,0.298,3.0%,17.1%,9.7%,25.1%,39.8%,27.9%,0.69,,,
