Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.275,0.348,0.454,0.801,0.323,3.1%,20.5%,9.4%,89.6,42.5%,28.0%,45.7%,18.6%,0.87,-11.8,-2.0%,-142.3
Atlanta Braves,0.256,0.328,0.416,0.744,0.296,2.8%,19.6%,8.8%,89.6,41.8%,25.4%,44.3%,21.7%,0.83,-2.9,-1.2%,-71.5
Chicago Cubs,0.212,0.285,0.348,0.633,0.257,2.8%,24.3%,8.3%,88.8,38.7%,25.5%,46.6%,19.8%,0.91,18.2,7.4%,169.6
Cincinnati Reds,0.263,0.345,0.456,0.801,0.294,4.1%,19.6%,10.0%,88.6,39.1%,28.2%,41.5%,21.4%,0.73,-12.0,-2.7%,-138.1
Colorado Rockies,0.274,0.345,0.446,0.79,0.321,2.9%,19.5%,8.7%,88.5,40.4%,26.6%,48.7%,17.7%,0.99,-11.4,-3.6%,-96.4
Los Angeles Dodgers,0.233,0.298,0.375,0.674,0.291,2.7%,25.1%,7.7%,87.6,35.2%,26.3%,42.3%,21.9%,0.76,8.5,6.2%,72.9
Miami Marlins,0.251,0.329,0.394,0.724,0.307,2.5%,22.4%,9.7%,88.7,38.2%,27.8%,43.0%,20.5%,0.78,0.0,0.0%,3.1
Milwaukee Brewers,0.263,0.333,0.426,0.76,0.303,2.9%,19.0%,8.6%,88.3,38.2%,26.3%,45.9%,19.4%,0.88,1.2,-0.8%,-18.3
New York Mets,0.254,0.311,0.395,0.706,0.312,2.5%,23.0%,7.2%,88.7,38.5%,26.7%,43.8%,20.7%,0.82,11.8,7.4%,85.2
Philadelphia Phillies,0.265,0.325,0.448,0.773,0.307,3.5%,21.1%,7.6%,88.9,38.7%,28.5%,40.9%,21.1%,0.72,-2.3,1.4%,-90.2
Pittsburgh Pirates,0.267,0.336,0.436,0.772,0.311,2.9%,19.6%,8.5%,88.3,37.5%,25.7%,46.3%,19.2%,0.91,-2.8,-1.1%,-42.4
San Diego Padres,0.258,0.33,0.422,0.753,0.298,2.9%,19.6%,9.1%,89.4,41.3%,25.0%,46.3%,20.5%,0.89,-4.5,0.5%,-73.3
San Francisco Giants,0.243,0.303,0.392,0.695,0.29,2.6%,21.6%,7.3%,88.8,38.0%,25.6%,44.7%,20.5%,0.84,9.3,8.9%,79.0
St. Louis Cardinals,0.258,0.32,0.402,0.722,0.307,2.6%,20.9%,7.7%,87.8,36.0%,25.4%,49.0%,18.3%,1.0,-1.5,-1.1%,-4.0
Washington Nationals,0.234,0.3,0.376,0.677,0.292,2.6%,24.5%,7.8%,88.3,36.7%,26.5%,43.1%,20.5%,0.79,9.7,6.6%,117.2
League Average,0.254,0.323,0.413,0.736,0.301,2.9%,21.3%,8.4%,88.7,38.8%,26.5%,44.8%,20.1%,0.85,,,
,0.254,0.323,0.413,0.736,0.301,2.9%,21.3%,8.4%,88.7,38.8%,26.5%,44.8%,20.1%,0.85,,,
