Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.247,0.311,0.404,0.715,0.288,3.2%,21.3%,7.6%,23.2%,38.3%,29.8%,0.65,14.0,15.8%,119.2
Atlanta Braves,0.25,0.314,0.384,0.698,0.287,2.5%,18.6%,8.2%,23.0%,42.5%,27.8%,0.77,12.6,12.4%,125.8
Chicago Cubs,0.249,0.321,0.398,0.719,0.299,2.7%,21.8%,8.9%,25.2%,40.8%,26.6%,0.72,4.1,1.3%,40.8
Cincinnati Reds,0.279,0.341,0.455,0.796,0.302,3.1%,14.9%,8.1%,25.0%,40.8%,26.6%,0.72,-7.6,-1.2%,-69.2
Colorado Rockies,0.275,0.35,0.48,0.83,0.299,3.8%,16.8%,9.5%,26.3%,38.1%,28.2%,0.64,-12.5,-4.6%,-80.2
Florida Marlins,0.257,0.338,0.411,0.749,0.296,2.4%,18.0%,9.9%,23.8%,41.0%,26.9%,0.73,-2.6,-1.8%,-9.4
Houston Astros,0.261,0.325,0.437,0.762,0.296,3.5%,19.7%,7.8%,25.3%,40.3%,27.3%,0.7,5.9,7.7%,21.4
Los Angeles Dodgers,0.252,0.323,0.411,0.734,0.291,3.0%,19.6%,8.5%,23.8%,39.8%,27.9%,0.69,1.8,-0.3%,-8.3
Milwaukee Brewers,0.265,0.35,0.44,0.791,0.294,3.1%,16.7%,10.5%,24.2%,41.0%,26.7%,0.73,-7.0,0.3%,-63.2
Montreal Expos,0.272,0.339,0.441,0.78,0.307,3.0%,17.7%,8.4%,24.4%,40.3%,27.6%,0.71,-3.9,-0.3%,-57.7
New York Mets,0.257,0.314,0.419,0.733,0.294,3.1%,19.5%,7.2%,23.5%,40.2%,28.4%,0.7,6.2,-0.6%,27.3
Philadelphia Phillies,0.259,0.329,0.424,0.753,0.292,2.7%,17.5%,8.5%,24.3%,39.6%,28.3%,0.68,2.9,0.3%,27.5
Pittsburgh Pirates,0.272,0.344,0.433,0.777,0.297,2.7%,14.6%,8.8%,23.9%,44.4%,24.9%,0.84,-10.9,-1.7%,-102.1
San Diego Padres,0.269,0.33,0.45,0.78,0.297,3.5%,17.3%,7.6%,25.2%,39.1%,28.5%,0.66,-7.8,-4.0%,-85.8
San Francisco Giants,0.258,0.329,0.404,0.732,0.294,2.3%,17.2%,9.2%,25.6%,38.4%,28.9%,0.65,5.2,4.4%,-2.5
St. Louis Cardinals,0.256,0.328,0.428,0.757,0.286,3.2%,17.7%,8.6%,25.4%,40.9%,26.2%,0.72,8.8,7.6%,75.8
League Average,0.261,0.331,0.426,0.757,0.295,3.0%,18.0%,8.6%,24.5%,40.4%,27.5%,0.7,,,
,0.261,0.331,0.426,0.757,0.295,3.0%,18.0%,8.6%,24.5%,40.4%,27.5%,0.7,,,
