Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.277,0.361,0.435,0.796,0.3,2.9%,14.4%,10.7%,18.0%,44.1%,28.9%,0.81,-12.1,-1.2%,-111.5
Boston Red Sox,0.25,0.323,0.39,0.713,0.292,2.4%,19.2%,8.9%,17.7%,43.2%,29.2%,0.79,9.5,7.4%,97.7
Chicago White Sox,0.261,0.32,0.41,0.731,0.301,2.5%,18.5%,7.4%,17.8%,45.1%,26.7%,0.85,9.7,14.3%,61.5
Cleveland Indians,0.273,0.33,0.424,0.754,0.303,2.8%,16.0%,7.2%,18.4%,44.2%,28.3%,0.82,-0.6,0.6%,-2.4
Detroit Tigers,0.274,0.353,0.437,0.791,0.304,2.7%,15.5%,10.1%,20.3%,41.8%,27.5%,0.74,-9.4,-2.4%,-87.5
Kansas City Royals,0.264,0.328,0.415,0.743,0.3,2.6%,17.5%,8.3%,19.7%,41.3%,28.6%,0.72,2.5,0.7%,-18.7
Los Angeles Angels of Anaheim,0.261,0.323,0.406,0.729,0.299,2.6%,18.0%,7.4%,18.0%,43.8%,28.9%,0.8,14.4,8.9%,82.1
Minnesota Twins,0.274,0.324,0.431,0.755,0.303,2.9%,16.0%,6.5%,17.8%,41.8%,31.3%,0.74,2.4,5.4%,11.1
New York Yankees,0.266,0.329,0.405,0.733,0.309,2.3%,18.5%,7.9%,20.1%,45.2%,26.0%,0.85,8.1,2.6%,47.3
Oakland Athletics,0.253,0.328,0.392,0.72,0.289,2.2%,17.4%,9.4%,19.3%,40.9%,30.4%,0.71,5.4,4.6%,48.6
Seattle Mariners,0.276,0.351,0.433,0.784,0.309,2.5%,16.0%,9.8%,20.2%,43.9%,26.7%,0.81,-10.7,-1.5%,-69.6
Tampa Bay Rays,0.246,0.314,0.4,0.715,0.28,2.7%,18.6%,8.6%,19.4%,40.0%,28.9%,0.69,13.6,11.1%,106.7
Texas Rangers,0.288,0.362,0.455,0.817,0.317,2.7%,14.8%,9.6%,21.2%,42.5%,28.0%,0.76,-11.5,-4.8%,-200.4
Toronto Blue Jays,0.244,0.309,0.38,0.689,0.286,2.2%,19.5%,7.7%,18.4%,46.1%,26.7%,0.88,12.9,3.4%,146.6
League Average,0.265,0.333,0.416,0.748,0.3,2.6%,17.1%,8.6%,19.0%,43.1%,28.3%,0.78,,,
,0.265,0.333,0.416,0.748,0.3,2.6%,17.1%,8.6%,19.0%,43.1%,28.3%,0.78,,,
