Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.247,0.305,0.397,0.702,0.292,2.8%,21.5%,6.9%,26.7%,39.1%,25.8%,0.67,11.5,6.2%,81.5
Atlanta Braves,0.24,0.313,0.364,0.677,0.275,2.0%,17.3%,9.0%,24.7%,42.9%,25.2%,0.79,20.3,9.5%,167.5
Chicago Cubs,0.253,0.331,0.407,0.738,0.303,2.7%,21.4%,9.7%,28.4%,37.7%,24.8%,0.64,-7.9,-1.2%,-51.1
Cincinnati Reds,0.269,0.338,0.426,0.764,0.297,2.8%,15.6%,8.7%,26.4%,40.8%,25.5%,0.72,0.2,-0.2%,-39.4
Colorado Rockies,0.277,0.349,0.466,0.816,0.295,3.6%,14.5%,9.2%,27.1%,39.0%,26.3%,0.66,-8.4,-2.0%,-140.8
Florida Marlins,0.262,0.341,0.415,0.756,0.3,2.4%,17.4%,10.0%,27.2%,37.9%,26.5%,0.64,0.3,-0.9%,-50.1
Houston Astros,0.26,0.33,0.41,0.74,0.306,2.4%,19.7%,8.8%,27.7%,39.6%,24.1%,0.69,5.5,3.8%,44.2
Los Angeles Dodgers,0.242,0.315,0.387,0.702,0.275,2.7%,18.4%,9.0%,25.6%,38.6%,27.5%,0.66,10.3,5.6%,52.7
Milwaukee Brewers,0.268,0.352,0.442,0.794,0.296,3.1%,16.2%,10.5%,27.2%,37.5%,26.8%,0.64,-8.6,-1.0%,-116.7
Montreal Expos,0.265,0.329,0.421,0.751,0.301,2.6%,17.4%,8.1%,27.5%,41.5%,24.1%,0.74,-0.5,-2.2%,9.5
New York Mets,0.256,0.327,0.403,0.73,0.292,2.6%,17.8%,8.7%,25.4%,39.0%,26.9%,0.67,2.2,2.0%,-1.7
Philadelphia Phillies,0.252,0.328,0.401,0.73,0.286,2.5%,17.3%,9.2%,25.2%,42.7%,24.3%,0.78,-4.7,-2.7%,-28.0
Pittsburgh Pirates,0.268,0.342,0.423,0.765,0.294,2.7%,15.0%,9.3%,26.5%,43.9%,22.7%,0.82,-1.3,0.6%,-21.9
San Diego Padres,0.274,0.346,0.442,0.788,0.31,2.8%,17.5%,9.2%,28.4%,38.5%,25.7%,0.66,-11.3,-0.7%,-134.7
San Francisco Giants,0.251,0.319,0.372,0.691,0.286,1.9%,16.4%,8.6%,27.1%,37.1%,27.8%,0.62,8.4,6.2%,82.5
St. Louis Cardinals,0.251,0.323,0.386,0.709,0.282,2.3%,16.5%,8.9%,27.0%,39.1%,26.5%,0.67,9.0,4.7%,67.9
League Average,0.258,0.331,0.41,0.741,0.293,2.6%,17.5%,9.0%,26.8%,39.7%,25.7%,0.69,,,
,0.258,0.331,0.41,0.741,0.293,2.6%,17.5%,9.0%,26.8%,39.7%,25.7%,0.69,,,
