Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.251,0.32,0.432,0.752,0.298,3.5%,22.9%,8.3%,89.2,41.5%,25.7%,42.8%,23.3%,0.77,5.8,1.1%,36.0
Atlanta Braves,0.256,0.329,0.419,0.748,0.305,3.3%,22.3%,8.8%,89.2,41.1%,25.2%,44.7%,22.1%,0.84,8.7,4.3%,46.2
Chicago Cubs,0.251,0.323,0.414,0.738,0.303,3.2%,23.3%,8.6%,89.0,40.5%,26.0%,45.3%,21.2%,0.85,1.3,1.2%,44.5
Cincinnati Reds,0.235,0.31,0.41,0.719,0.289,3.5%,25.6%,8.9%,88.3,37.4%,24.0%,44.0%,23.7%,0.81,7.4,1.5%,66.0
Colorado Rockies,0.277,0.348,0.492,0.84,0.311,4.2%,19.7%,9.2%,90.1,43.6%,25.8%,45.7%,21.8%,0.87,-7.9,-2.5%,-135.8
Los Angeles Dodgers,0.223,0.282,0.379,0.661,0.273,3.1%,25.7%,6.6%,87.6,35.9%,24.1%,44.2%,22.3%,0.82,13.2,5.4%,144.1
Miami Marlins,0.245,0.329,0.435,0.764,0.283,3.8%,22.1%,9.8%,88.8,39.5%,24.3%,38.3%,27.0%,0.64,-6.5,-0.2%,-64.7
Milwaukee Brewers,0.246,0.321,0.425,0.747,0.296,3.6%,24.0%,9.1%,88.1,38.4%,25.2%,41.8%,23.0%,0.74,6.8,4.5%,11.8
New York Mets,0.251,0.317,0.418,0.735,0.307,3.3%,24.4%,8.0%,87.8,37.1%,24.8%,42.8%,23.8%,0.77,1.4,-1.2%,7.4
Philadelphia Phillies,0.261,0.332,0.453,0.785,0.301,4.1%,22.2%,8.7%,88.8,39.5%,25.7%,42.7%,23.3%,0.77,1.7,-0.1%,-20.3
Pittsburgh Pirates,0.268,0.343,0.47,0.813,0.318,3.8%,22.6%,9.1%,89.0,40.5%,25.4%,41.7%,24.1%,0.74,-11.6,-3.3%,-155.7
San Diego Padres,0.251,0.315,0.43,0.744,0.303,3.5%,23.9%,7.5%,88.6,39.3%,24.6%,42.7%,24.6%,0.77,-0.7,0.9%,-51.5
San Francisco Giants,0.249,0.318,0.428,0.746,0.289,3.6%,21.9%,8.3%,89.7,41.6%,24.7%,41.6%,24.5%,0.74,7.2,1.7%,-12.7
St. Louis Cardinals,0.238,0.314,0.397,0.711,0.285,3.2%,23.1%,9.0%,88.5,38.4%,24.9%,44.9%,22.0%,0.83,9.5,8.2%,89.0
Washington Nationals,0.244,0.314,0.412,0.726,0.298,3.3%,24.6%,8.4%,89.1,39.6%,25.2%,42.1%,24.5%,0.75,3.2,1.1%,43.4
League Average,0.25,0.321,0.428,0.749,0.297,3.5%,23.2%,8.6%,88.8,39.7%,25.0%,43.0%,23.4%,0.78,,,
,0.25,0.321,0.428,0.749,0.297,3.5%,23.2%,8.6%,88.8,39.7%,25.0%,43.0%,23.4%,0.78,,,
