Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.278,0.345,0.455,0.799,0.309,3.0%,16.2%,8.4%,19.5%,44.0%,26.7%,0.83,0.6,-4.0%,-110.0
Atlanta Braves,0.268,0.333,0.406,0.739,0.298,2.3%,15.0%,8.4%,18.9%,45.4%,26.5%,0.88,1.8,4.5%,57.4
Chicago Cubs,0.25,0.325,0.407,0.732,0.29,3.0%,20.3%,9.3%,17.6%,45.3%,26.9%,0.88,1.8,-0.8%,30.2
Cincinnati Reds,0.29,0.352,0.483,0.835,0.313,3.4%,14.9%,7.7%,19.8%,40.6%,28.4%,0.72,-13.5,-2.8%,-165.0
Colorado Rockies,0.287,0.362,0.457,0.819,0.319,2.7%,15.4%,9.5%,20.1%,42.9%,27.3%,0.79,-8.5,-3.0%,-101.8
Florida Marlins,0.266,0.339,0.402,0.741,0.313,1.9%,18.0%,9.0%,18.2%,43.9%,25.6%,0.83,2.7,1.4%,-23.8
Houston Astros,0.246,0.308,0.389,0.697,0.285,2.6%,19.3%,7.3%,17.9%,45.8%,26.7%,0.88,15.5,13.4%,127.9
Los Angeles Dodgers,0.263,0.327,0.429,0.756,0.291,3.0%,16.4%,7.7%,16.6%,45.0%,28.2%,0.87,-5.8,-4.1%,-38.2
Milwaukee Brewers,0.251,0.324,0.408,0.733,0.289,2.7%,18.9%,9.2%,18.8%,41.0%,29.1%,0.73,1.0,0.0%,26.0
New York Mets,0.255,0.321,0.387,0.708,0.289,2.2%,16.5%,8.0%,17.5%,43.9%,27.8%,0.83,2.8,0.3%,65.5
Philadelphia Phillies,0.253,0.32,0.426,0.746,0.287,3.1%,18.9%,8.0%,20.2%,43.0%,25.8%,0.79,5.5,2.9%,17.0
Pittsburgh Pirates,0.267,0.344,0.424,0.769,0.294,2.6%,15.3%,9.8%,18.6%,42.9%,28.0%,0.79,-4.9,0.1%,-47.3
San Diego Padres,0.259,0.322,0.408,0.731,0.298,2.3%,18.1%,8.0%,18.8%,42.3%,28.3%,0.76,3.2,0.7%,-21.2
San Francisco Giants,0.263,0.336,0.412,0.748,0.293,2.4%,15.5%,9.4%,19.4%,41.1%,28.0%,0.73,-1.0,-3.6%,-9.0
St. Louis Cardinals,0.257,0.318,0.398,0.716,0.286,2.5%,16.1%,7.3%,18.2%,49.8%,23.7%,1.05,12.4,6.4%,102.2
Washington Nationals,0.262,0.333,0.396,0.729,0.295,2.2%,15.9%,8.6%,18.9%,39.6%,29.1%,0.69,9.2,8.1%,45.3
League Average,0.264,0.332,0.418,0.75,0.297,2.6%,16.9%,8.5%,18.7%,43.5%,27.3%,0.81,,,
,0.264,0.332,0.418,0.75,0.297,2.6%,16.9%,8.5%,18.7%,43.5%,27.3%,0.81,,,
