Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Anaheim Angels,0.263,0.331,0.412,0.744,0.288,2.7%,15.3%,8.5%,24.5%,41.8%,27.3%,0.74,4.0,2.5%,54.6
Baltimore Orioles,0.269,0.337,0.439,0.777,0.291,3.1%,15.0%,8.4%,24.4%,39.8%,28.3%,0.68,-7.5,-0.4%,-66.5
Boston Red Sox,0.254,0.329,0.393,0.722,0.302,2.3%,20.1%,8.7%,24.1%,42.0%,26.0%,0.75,3.8,2.8%,47.2
Chicago White Sox,0.266,0.334,0.427,0.761,0.288,2.9%,14.9%,8.1%,24.2%,40.1%,27.6%,0.7,0.0,-1.9%,1.9
Cleveland Indians,0.27,0.341,0.417,0.757,0.319,2.3%,19.3%,9.1%,24.5%,41.9%,26.6%,0.75,1.2,1.3%,-29.9
Detroit Tigers,0.289,0.357,0.461,0.818,0.311,2.8%,13.5%,8.7%,26.0%,40.2%,27.3%,0.69,-11.1,-2.7%,-119.0
Kansas City Royals,0.276,0.348,0.45,0.797,0.295,3.3%,14.5%,9.2%,24.4%,41.6%,27.6%,0.74,-5.3,-1.7%,-48.4
Minnesota Twins,0.268,0.325,0.437,0.763,0.291,3.1%,15.6%,7.2%,25.0%,37.0%,30.7%,0.61,1.0,-0.9%,19.9
New York Yankees,0.257,0.318,0.398,0.716,0.303,2.6%,20.5%,7.5%,24.5%,40.4%,27.6%,0.7,14.0,8.0%,76.6
Oakland Athletics,0.249,0.308,0.38,0.688,0.285,2.5%,18.3%,7.2%,23.7%,45.0%,24.6%,0.84,12.5,4.8%,145.1
Seattle Mariners,0.236,0.301,0.378,0.679,0.262,2.6%,17.2%,7.6%,22.0%,38.0%,31.7%,0.63,18.0,4.0%,152.6
Tampa Bay Devil Rays,0.273,0.345,0.452,0.797,0.299,3.3%,16.4%,9.1%,25.4%,37.1%,30.8%,0.6,-10.4,-2.3%,-122.5
Texas Rangers,0.293,0.362,0.494,0.856,0.314,3.4%,14.7%,9.2%,26.8%,37.3%,29.1%,0.61,-12.2,-3.4%,-171.6
Toronto Blue Jays,0.275,0.339,0.435,0.774,0.309,2.6%,16.5%,7.8%,25.8%,43.0%,24.8%,0.78,5.3,1.0%,47.8
League Average,0.267,0.334,0.427,0.761,0.297,2.8%,16.5%,8.3%,24.7%,40.4%,27.9%,0.7,,,
,0.267,0.334,0.427,0.761,0.297,2.8%,16.5%,8.3%,24.7%,40.4%,27.9%,0.7,,,
