Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.257,0.316,0.409,0.725,0.29,2.6%,17.3%,7.2%,18.0%,41.0%,30.1%,0.73,5.6,3.3%,9.6
Atlanta Braves,0.24,0.31,0.361,0.671,0.293,2.0%,21.4%,8.4%,16.4%,46.7%,28.4%,0.92,11.3,10.3%,73.0
Chicago Cubs,0.262,0.335,0.413,0.748,0.307,2.6%,19.6%,9.3%,19.9%,42.1%,27.0%,0.77,-10.3,-3.3%,-92.9
Cincinnati Reds,0.255,0.325,0.415,0.74,0.286,3.0%,17.8%,8.6%,18.6%,44.2%,27.5%,0.83,-6.0,-3.3%,-40.9
Colorado Rockies,0.265,0.331,0.431,0.763,0.301,2.8%,18.0%,8.4%,18.1%,45.5%,27.1%,0.87,-4.1,-1.4%,-51.4
Florida Marlins,0.253,0.316,0.401,0.718,0.297,2.4%,19.7%,8.1%,19.5%,43.8%,26.7%,0.82,-3.6,-1.7%,-34.1
Houston Astros,0.266,0.337,0.432,0.77,0.307,3.0%,19.0%,8.9%,19.4%,42.7%,28.2%,0.78,-16.6,-3.2%,-150.4
Los Angeles Dodgers,0.241,0.31,0.371,0.681,0.29,2.2%,21.1%,8.5%,17.6%,42.3%,28.6%,0.77,4.1,-1.5%,32.3
Milwaukee Brewers,0.246,0.304,0.385,0.689,0.292,2.4%,20.8%,7.3%,19.2%,44.2%,27.5%,0.83,4.8,2.5%,35.8
New York Mets,0.265,0.332,0.411,0.743,0.306,2.3%,17.8%,8.1%,17.2%,45.2%,27.1%,0.88,-10.2,-2.7%,-87.9
Philadelphia Phillies,0.24,0.296,0.361,0.657,0.292,2.0%,21.4%,6.7%,17.7%,45.7%,24.7%,0.89,18.8,10.8%,147.7
Pittsburgh Pirates,0.27,0.338,0.409,0.747,0.305,2.4%,16.3%,8.5%,19.0%,44.9%,26.5%,0.86,-6.0,0.6%,-66.3
San Diego Padres,0.245,0.314,0.375,0.689,0.287,2.1%,18.8%,8.6%,18.4%,43.4%,27.6%,0.81,2.9,0.7%,31.4
San Francisco Giants,0.232,0.309,0.346,0.655,0.288,1.6%,21.5%,9.1%,17.7%,45.6%,26.7%,0.89,10.4,7.9%,69.2
St. Louis Cardinals,0.261,0.319,0.398,0.717,0.3,2.2%,17.7%,7.2%,19.6%,46.7%,25.3%,0.92,-5.8,-8.0%,-31.2
Washington Nationals,0.256,0.319,0.382,0.701,0.293,2.1%,17.1%,7.8%,19.8%,43.5%,26.9%,0.81,4.8,0.1%,19.0
League Average,0.253,0.32,0.394,0.714,0.296,2.4%,19.1%,8.2%,18.5%,44.2%,27.2%,0.83,,,
,0.253,0.32,0.394,0.714,0.296,2.4%,19.1%,8.2%,18.5%,44.2%,27.2%,0.83,,,
