Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.271,0.34,0.448,0.788,0.3,3.4%,17.1%,8.8%,19.7%,40.8%,29.7%,0.72,-11.2,-3.9%,-122.4
Atlanta Braves,0.246,0.314,0.376,0.69,0.295,2.1%,20.5%,8.3%,17.0%,48.4%,26.2%,0.99,4.9,8.5%,61.7
Chicago Cubs,0.255,0.334,0.398,0.732,0.303,2.5%,20.1%,9.6%,18.5%,42.4%,29.1%,0.77,3.5,0.0%,-54.2
Cincinnati Reds,0.254,0.323,0.396,0.719,0.292,2.6%,18.3%,8.5%,19.3%,42.7%,28.6%,0.77,3.5,3.1%,28.5
Colorado Rockies,0.257,0.326,0.397,0.724,0.307,2.3%,20.1%,8.6%,21.1%,45.3%,24.2%,0.87,3.8,1.1%,30.6
Florida Marlins,0.261,0.331,0.398,0.728,0.306,2.2%,18.8%,8.8%,19.0%,42.8%,28.1%,0.79,-1.2,-2.2%,-7.9
Houston Astros,0.261,0.33,0.402,0.732,0.309,2.3%,19.5%,8.8%,17.6%,43.8%,29.2%,0.82,-0.8,-1.0%,-35.8
Los Angeles Dodgers,0.244,0.316,0.378,0.694,0.292,2.2%,20.8%,8.8%,18.2%,43.9%,26.5%,0.82,5.6,2.4%,-4.3
Milwaukee Brewers,0.267,0.338,0.427,0.765,0.313,2.7%,19.9%,9.2%,21.0%,41.2%,27.9%,0.73,-7.3,-3.4%,-104.3
New York Mets,0.26,0.33,0.394,0.723,0.301,2.2%,17.7%,8.7%,19.7%,43.6%,26.3%,0.82,6.8,2.5%,43.6
Philadelphia Phillies,0.254,0.311,0.405,0.716,0.294,2.8%,19.4%,6.8%,18.5%,45.4%,26.4%,0.87,10.2,10.2%,79.2
Pittsburgh Pirates,0.282,0.348,0.449,0.798,0.316,2.7%,16.3%,8.5%,18.2%,43.0%,28.9%,0.79,-13.0,-1.8%,-185.9
San Diego Padres,0.24,0.308,0.368,0.676,0.289,2.3%,21.4%,8.5%,18.3%,44.6%,28.4%,0.84,15.0,17.0%,97.4
San Francisco Giants,0.236,0.313,0.37,0.683,0.286,2.2%,21.6%,9.4%,17.6%,41.4%,29.4%,0.74,13.3,18.3%,120.7
St. Louis Cardinals,0.256,0.319,0.387,0.706,0.296,2.2%,17.8%,7.8%,18.4%,48.7%,24.7%,0.99,4.8,2.3%,58.7
Washington Nationals,0.266,0.33,0.41,0.74,0.302,2.4%,17.2%,8.2%,20.7%,42.8%,26.5%,0.78,-6.4,-2.1%,-48.8
League Average,0.257,0.326,0.4,0.726,0.3,2.4%,19.1%,8.6%,18.9%,43.8%,27.5%,0.82,,,
,0.257,0.326,0.4,0.726,0.3,2.4%,19.1%,8.6%,18.9%,43.8%,27.5%,0.82,,,
