Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.263,0.336,0.416,0.752,0.294,2.9%,16.9%,9.3%,19.6%,44.6%,26.6%,0.83,-4.2,-1.7%,-53.8
Boston Red Sox,0.276,0.335,0.441,0.776,0.305,2.6%,15.4%,7.1%,16.2%,43.2%,30.6%,0.78,-2.4,-0.3%,-39.2
Chicago White Sox,0.249,0.31,0.397,0.707,0.278,2.7%,16.8%,7.4%,16.7%,43.4%,28.8%,0.8,17.5,7.2%,139.5
Cleveland Indians,0.247,0.302,0.387,0.689,0.277,2.6%,17.4%,6.8%,18.4%,44.2%,27.6%,0.82,10.9,11.0%,103.7
Detroit Tigers,0.272,0.33,0.436,0.767,0.292,3.1%,14.8%,7.5%,16.9%,45.9%,27.8%,0.88,-3.7,-0.9%,-43.5
Kansas City Royals,0.291,0.362,0.463,0.825,0.319,2.8%,14.5%,9.1%,19.3%,43.7%,26.7%,0.8,-17.6,-1.7%,-196.7
Los Angeles Angels of Anaheim,0.254,0.312,0.401,0.713,0.29,2.6%,18.3%,7.2%,16.5%,40.3%,32.2%,0.7,12.7,12.5%,118.1
Minnesota Twins,0.261,0.307,0.408,0.715,0.287,2.8%,15.9%,5.7%,16.4%,44.6%,28.1%,0.84,10.0,5.0%,112.9
New York Yankees,0.269,0.332,0.422,0.754,0.299,2.7%,15.9%,7.5%,17.1%,46.3%,27.6%,0.88,-1.0,3.2%,-43.8
Oakland Athletics,0.241,0.311,0.382,0.693,0.273,2.5%,17.7%,8.3%,19.4%,43.5%,26.7%,0.79,8.2,8.4%,102.2
Seattle Mariners,0.268,0.332,0.422,0.754,0.289,2.9%,14.5%,8.0%,18.5%,41.0%,30.1%,0.72,-5.3,-1.8%,-20.6
Tampa Bay Devil Rays,0.28,0.355,0.455,0.81,0.305,3.0%,14.9%,9.6%,19.4%,37.9%,31.5%,0.63,-14.7,-2.5%,-197.3
Texas Rangers,0.279,0.343,0.428,0.772,0.307,2.5%,14.6%,8.2%,19.4%,45.1%,26.2%,0.85,-6.4,-3.7%,-81.4
Toronto Blue Jays,0.264,0.324,0.418,0.742,0.288,3.0%,15.5%,7.2%,17.8%,45.4%,26.6%,0.86,4.7,2.7%,61.1
League Average,0.265,0.328,0.42,0.748,0.293,2.8%,15.9%,7.8%,18.0%,43.5%,28.4%,0.79,,,
,0.265,0.328,0.42,0.748,0.293,2.8%,15.9%,7.8%,18.0%,43.5%,28.4%,0.79,,,
