Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.273,0.344,0.473,0.817,0.306,4.1%,19.7%,9.0%,89.5,41.4%,24.5%,39.8%,27.0%,0.67,-16.9,-0.2%,-217.5
Boston Red Sox,0.258,0.332,0.417,0.749,0.324,2.9%,24.8%,8.9%,88.1,39.6%,23.4%,44.2%,24.3%,0.8,4.7,3.9%,27.1
Chicago White Sox,0.229,0.298,0.381,0.679,0.289,3.1%,27.1%,8.3%,88.3,38.8%,23.1%,41.1%,26.7%,0.71,8.1,4.8%,107.1
Cleveland Indians,0.24,0.313,0.417,0.73,0.283,3.6%,23.3%,8.8%,88.8,40.6%,24.2%,42.5%,26.0%,0.75,3.2,1.1%,12.7
Detroit Tigers,0.252,0.329,0.419,0.748,0.29,3.2%,20.4%,9.3%,89.1,40.9%,22.6%,44.4%,25.5%,0.81,3.0,-0.5%,-13.5
Houston Astros,0.228,0.306,0.382,0.688,0.276,3.1%,24.0%,9.1%,88.3,38.0%,22.6%,44.7%,25.1%,0.82,9.5,8.1%,109.1
Kansas City Royals,0.254,0.332,0.415,0.747,0.302,3.1%,21.9%,9.7%,89.2,40.9%,24.8%,42.5%,25.4%,0.75,-3.2,-1.2%,-34.8
Los Angeles Angels,0.251,0.33,0.41,0.74,0.306,3.0%,23.5%,9.6%,87.6,38.2%,23.8%,44.4%,24.7%,0.81,0.5,-0.9%,-46.7
Minnesota Twins,0.255,0.32,0.449,0.769,0.292,3.9%,21.7%,8.0%,89.0,42.0%,23.6%,40.7%,27.9%,0.7,-3.0,-1.5%,-85.2
New York Yankees,0.231,0.299,0.389,0.688,0.286,3.3%,26.2%,8.2%,87.4,36.7%,22.6%,41.9%,26.8%,0.73,9.7,8.4%,93.1
Oakland Athletics,0.247,0.309,0.403,0.711,0.292,3.2%,22.0%,7.2%,88.3,38.2%,24.5%,40.0%,26.6%,0.68,2.7,2.1%,48.6
Seattle Mariners,0.247,0.314,0.417,0.73,0.289,3.2%,21.8%,7.9%,89.0,39.8%,23.8%,40.7%,27.3%,0.7,7.7,1.9%,-1.5
Tampa Bay Rays,0.232,0.294,0.386,0.68,0.282,3.1%,24.6%,7.3%,87.9,37.4%,24.0%,41.4%,26.1%,0.72,11.8,8.5%,102.1
Texas Rangers,0.256,0.325,0.436,0.761,0.29,3.8%,20.3%,8.4%,88.6,39.3%,24.3%,42.2%,25.8%,0.74,-3.9,0.0%,-60.6
Toronto Blue Jays,0.236,0.305,0.407,0.712,0.284,3.5%,24.8%,8.0%,88.6,39.5%,23.2%,43.0%,25.6%,0.76,6.9,3.2%,92.5
League Average,0.246,0.317,0.414,0.73,0.293,3.3%,23.1%,8.5%,88.5,39.5%,23.7%,42.2%,26.1%,0.74,,,
,0.246,0.317,0.414,0.73,0.293,3.3%,23.1%,8.5%,88.5,39.5%,23.7%,42.2%,26.1%,0.74,,,
